X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,2.887007E-05,0.000000,121,0.000000,-2.517739E-05,0.000000,-1
0.0009,3.021286E-05,0.0135,124,0.0009,-2.21561E-05,0.0135,0
0.0018,6.277562E-05,0.027,122,0.0018,-1.846342E-05,0.027,0
0.0027,8.82887E-05,0.0405,122,0.0027,-4.53193E-05,0.0405,0
0.0036,2.853437E-05,0.054,121,0.0036,-6.378271E-05,0.054,1
0.0045,3.659113E-05,0.0675,121,0.0045,-0.0001064164,0.0675,-2
0.0054,7.721065E-06,0.081,122,0.0054,-0.0001443503,0.081,-2
0.0063,-5.774014E-05,0.0945,121,0.0063,-0.0001171588,0.0945,0
0.0072,-4.095522E-05,0.108,121,0.0072,-6.277562E-05,0.108,-2
0.0081,8.392462E-06,0.1215,122,0.0081,-6.378271E-05,0.1215,0
0.009000001,1.577783E-05,0.135,122,0.009000001,-1.309224E-05,0.135,-1
0.0099,5.270466E-05,0.1485,121,0.0099,8.69459E-05,0.1485,2
0.0108,2.652018E-05,0.162,122,0.0108,0.0001104448,0.162,0
0.0117,4.263371E-05,0.1755,121,0.0117,0.0001117876,0.1755,0
0.0126,-4.028382E-06,0.189,120,0.0126,4.162661E-05,0.189,-2
0.0135,4.36408E-06,0.2025,120,0.0135,1.846342E-05,0.2025,-5
0.0144,1.577783E-05,0.216,120,0.0144,-5.706874E-06,0.216,-2
0.0153,-8.392462E-06,0.2295,120,0.0153,0,0.2295,0
0.0162,5.035477E-06,0.243,120,0.0162,-2.786297E-05,0.243,-3
0.0171,5.874724E-05,0.2565,122,0.0171,-6.344701E-05,0.2565,0
0.018,5.841154E-05,0.27,122,0.018,-6.54612E-05,0.27,-3
0.0189,3.289845E-05,0.2835,122,0.0189,-5.001907E-05,0.2835,-2
0.0198,8.728161E-06,0.297,121,0.0198,-4.263371E-05,0.297,-1
0.0207,-1.141375E-05,0.3105,121,0.0207,-2.349889E-05,0.3105,0
0.0216,-1.342794E-06,0.324,122,0.0216,2.484169E-05,0.324,-1
0.0225,5.706874E-06,0.3375,122,0.0225,-1.007095E-06,0.3375,-4
