X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,1.275654E-05,0.000000,45,0.000000,-2.584878E-05,0.000000,105
0.0009,-5.203327E-05,0.0135,46,0.0009,3.558404E-05,0.0135,107
0.0018,-3.356985E-06,0.027,47,0.0018,6.74754E-05,0.027,101
0.0027,6.378271E-06,0.0405,47,0.0027,2.853437E-05,0.0405,106
0.0036,-8.627451E-05,0.054,46,0.0036,-3.054856E-05,0.054,107
0.0045,-6.243992E-05,0.0675,47,0.0045,-3.524834E-05,0.0675,103
0.0054,-2.349889E-06,0.081,47,0.0054,-1.644922E-05,0.081,100
0.0063,-7.284657E-05,0.0945,46,0.0063,-2.987716E-05,0.0945,104
0.0072,-6.378271E-06,0.108,46,0.0072,-3.524834E-05,0.108,103
0.0081,-9.735256E-06,0.1215,46,0.0081,-2.954147E-05,0.1215,102
0.009000001,-2.349889E-06,0.135,47,0.009000001,-2.719158E-05,0.135,107
0.0099,5.673304E-05,0.1485,45,0.0099,-9.735256E-06,0.1485,106
0.0108,5.975433E-05,0.162,46,0.0108,-2.18204E-05,0.162,104
0.0117,0.0001460288,0.1755,46,0.0117,-2.786297E-05,0.1755,107
0.0126,1.376364E-05,0.189,47,0.0126,-4.43122E-05,0.189,105
0.0135,3.323415E-05,0.2025,45,0.0135,-1.644922E-05,0.2025,107
0.0144,7.486076E-05,0.216,46,0.0144,-4.867628E-05,0.216,104
0.0153,-2.920577E-05,0.2295,47,0.0153,-2.450599E-05,0.2295,103
0.0162,2.349889E-06,0.243,47,0.0162,-2.316319E-05,0.243,106
0.0171,-0.0001178302,0.2565,45,0.0171,-7.049668E-05,0.2565,103
0.018,-0.0001161517,0.27,46,0.018,-4.632639E-05,0.27,106
0.0189,3.356985E-07,0.2835,46,0.0189,-5.069047E-05,0.2835,105
0.0198,-2.1149E-05,0.297,46,0.0198,-4.061952E-05,0.297,104
0.0207,-6.814679E-05,0.3105,47,0.0207,-1.779202E-05,0.3105,108
0.0216,-2.551309E-05,0.324,46,0.0216,-2.853437E-05,0.324,104
0.0225,-1.577783E-05,0.3375,46,0.0225,-2.719158E-05,0.3375,105
0.0234,0.0001433432,0.351,46,0.0234,-1.577783E-05,0.351,104
0.0243,7.150377E-05,0.3645,47,0.0243,-2.719158E-05,0.3645,109
0.0252,4.733349E-05,0.378,46,0.0252,8.728161E-06,0.378,105
0.0261,4.196231E-05,0.3915,48,0.0261,-6.713969E-07,0.3915,106
0.027,4.196231E-05,0.405,46,0.027,-1.242084E-05,0.405,107
0.0279,0.0001044022,0.4185,47,0.0279,-2.987716E-05,0.4185,107
0.0288,0.000105745,0.432,47,0.0288,-7.653925E-05,0.432,105
