X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,8.92958E-05,0.000000,52,0.000000,-3.390555E-05,0.000000,105
0.0009,-5.874724E-05,0.0135,51,0.0009,3.726253E-05,0.0135,101
0.0018,-0.0001087663,0.027,50,0.0018,5.841154E-05,0.027,102
0.0027,-9.030289E-05,0.0405,49,0.0027,2.652018E-05,0.0405,105
0.0036,-0.0002453956,0.054,51,0.0036,-6.042573E-06,0.054,104
0.0045,-0.000161471,0.0675,51,0.0045,-5.035477E-06,0.0675,102
0.0054,-4.061952E-05,0.081,50,0.0054,-1.913481E-05,0.081,100
0.0063,-0.0001399863,0.0945,51,0.0063,-1.275654E-05,0.0945,101
0.0072,-6.74754E-05,0.108,51,0.0072,-3.155566E-05,0.108,107
0.0081,-3.524834E-05,0.1215,49,0.0081,-3.054856E-05,0.1215,101
0.009000001,5.740444E-05,0.135,50,0.009000001,-1.174945E-05,0.135,102
0.0099,9.097429E-05,0.1485,50,0.0099,6.042573E-06,0.1485,105
0.0108,3.692683E-06,0.162,49,0.0108,2.24918E-05,0.162,102
0.0117,-3.356985E-07,0.1755,49,0.0117,0,0.1755,101
0.0126,-7.049668E-06,0.189,49,0.0126,1.443504E-05,0.189,102
0.0135,5.572595E-05,0.2025,50,0.0135,2.014191E-06,0.2025,101
0.0144,0.0001077592,0.216,49,0.0144,-3.424125E-05,0.216,104
0.0153,-4.196231E-05,0.2295,50,0.0153,1.208515E-05,0.2295,104
0.0162,8.89601E-05,0.243,49,0.0162,7.721065E-06,0.243,103
0.0171,0.0003038071,0.2565,49,0.0171,-4.129091E-05,0.2565,105
0.018,8.291753E-05,0.27,50,0.018,-5.001907E-05,0.27,102
0.0189,7.486076E-05,0.2835,49,0.0189,-3.155566E-05,0.2835,103
0.0198,0.0001661708,0.297,52,0.0198,-4.766919E-05,0.297,104
0.0207,8.157473E-05,0.3105,50,0.0207,-5.438316E-05,0.3105,103
0.0216,1.040665E-05,0.324,50,0.0216,-7.620356E-05,0.324,106
0.0225,8.258183E-05,0.3375,51,0.0225,-4.162661E-05,0.3375,101
0.0234,1.443504E-05,0.351,50,0.0234,-5.203327E-05,0.351,102
0.0243,-0.0001550927,0.3645,51,0.0243,-7.687495E-05,0.3645,101
0.0252,8.258183E-05,0.378,50,0.0252,-3.424125E-05,0.378,106
0.0261,7.989624E-05,0.3915,50,0.0261,-3.994812E-05,0.3915,102
0.027,-6.378271E-06,0.405,50,0.027,-7.116808E-05,0.405,104
0.0279,4.934768E-05,0.4185,50,0.0279,-6.210422E-05,0.4185,101
0.0288,9.365987E-05,0.432,49,0.0288,-8.258183E-05,0.432,105
0.0297,2.383459E-05,0.4455,50,0.0297,3.424125E-05,0.4455,104
0.0306,-6.848249E-05,0.459,51,0.0306,3.860533E-05,0.459,105
0.0315,2.1149E-05,0.4725,49,0.0315,-2.652018E-05,0.4725,104
0.0324,9.030289E-05,0.486,51,0.0324,-3.659113E-05,0.486,102
0.0333,-0.0001315938,0.4995,50,0.0333,8.761731E-05,0.4995,106
0.0342,-9.298848E-05,0.513,50,0.0342,3.759823E-05,0.513,109
0.0351,9.030289E-05,0.5265,50,0.0351,-9.365987E-05,0.5265,103
0.036,-7.251087E-05,0.54,50,0.036,4.39765E-05,0.54,102
0.0369,-7.653925E-05,0.5535,50,0.0369,4.196231E-05,0.5535,103
0.0378,-7.049668E-06,0.567,50,0.0378,-5.874724E-05,0.567,102
0.0387,-0.0001594568,0.5805,49,0.0387,-1.342794E-05,0.5805,101
0.0396,-0.0001393149,0.594,51,0.0396,6.478981E-05,0.594,103
0.0405,-0.0001245441,0.6075,51,0.0405,2.014191E-05,0.6075,102
0.0414,-0.0001265583,0.621,52,0.0414,8.392462E-06,0.621,102
0.0423,-5.706874E-06,0.6345,50,0.0423,-5.706874E-05,0.6345,100
0.0432,7.721065E-06,0.648,49,0.0432,2.954147E-05,0.648,105
0.0441,-9.903105E-05,0.6615,50,0.0441,3.692683E-05,0.6615,103
0.045,-6.478981E-05,0.675,50,0.045,-5.001907E-05,0.675,103
0.0459,0.0001440146,0.6885,52,0.0459,-7.016098E-05,0.6885,104
0.0468,-5.371176E-05,0.702,50,0.0468,5.673304E-05,0.702,102
0.0477,-5.136187E-05,0.7155,50,0.0477,-7.385367E-06,0.7155,104
0.0486,0.0001950408,0.729,51,0.0486,-0.0001272297,0.729,104
0.0495,9.399558E-06,0.7425,50,0.0495,3.088426E-05,0.7425,103
0.0504,3.121996E-05,0.756,49,0.0504,1.275654E-05,0.756,106
0.0513,0.0001816129,0.7695,50,0.0513,-0.0001198444,0.7695,101
0.0522,0.0001433432,0.783,50,0.0522,-1.611353E-05,0.783,101
0.0531,-6.74754E-05,0.7965,51,0.0531,4.46479E-05,0.7965,103
0.054,-1.644922E-05,0.81,51,0.054,-1.745632E-05,0.81,101
0.0549,-3.356985E-07,0.8235,50,0.0549,-7.049668E-06,0.8235,104
0.0558,5.807584E-05,0.837,48,0.0558,-7.553216E-05,0.837,106
0.0567,1.577783E-05,0.8505,48,0.0567,5.035477E-05,0.8505,104
0.0576,-0.0001708705,0.864,49,0.0576,1.812772E-05,0.864,100
0.0585,-0.0001265583,0.8775,46,0.0585,-6.64683E-05,0.8775,109
0.0594,-5.136187E-05,0.891,47,0.0594,-8.392462E-05,0.891,102
0.0603,-0.0001225299,0.9045,46,0.0603,2.18204E-05,0.9045,105
0.0612,-6.51255E-05,0.918,46,0.0612,-1.141375E-05,0.918,103
0.0621,4.263371E-05,0.9315,46,0.0621,-0.0001218585,0.9315,104
0.063,-1.846342E-05,0.945,45,0.063,2.1149E-05,0.945,100
0.0639,-2.21561E-05,0.9585,46,0.0639,4.766919E-05,0.9585,104
