X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,7.418937E-05,0.000000,43,0.000000,-4.49836E-05,0.000000,107
0.0009,-2.652018E-05,0.0135,45,0.0009,-1.007095E-06,0.0135,104
0.0018,-7.452507E-05,0.027,42,0.0018,-1.846342E-05,0.027,106
0.0027,-1.007095E-06,0.0405,44,0.0027,-4.43122E-05,0.0405,105
0.0036,2.014191E-06,0.054,43,0.0036,-3.826963E-05,0.054,105
0.0045,-4.733349E-05,0.0675,45,0.0045,-4.53193E-05,0.0675,107
0.0054,-5.874724E-05,0.081,44,0.0054,-5.001907E-05,0.081,104
0.0063,-1.644922E-05,0.0945,43,0.0063,-4.028382E-05,0.0945,101
0.0072,-2.987716E-05,0.108,44,0.0072,-3.826963E-05,0.108,104
0.0081,-3.021286E-05,0.1215,44,0.0081,-4.699779E-05,0.1215,103
0.009000001,3.659113E-05,0.135,44,0.009000001,-2.517739E-05,0.135,105
0.0099,9.500267E-05,0.1485,43,0.0099,-2.383459E-05,0.1485,101
0.0108,5.337606E-05,0.162,43,0.0108,-3.927672E-05,0.162,108
0.0117,6.6804E-05,0.1755,44,0.0117,-3.457694E-05,0.1755,107
0.0126,4.061952E-05,0.189,45,0.0126,-4.061952E-05,0.189,106
0.0135,-7.721065E-06,0.2025,44,0.0135,-5.270466E-05,0.2025,107
0.0144,2.21561E-05,0.216,43,0.0144,-8.560311E-05,0.216,106
0.0153,2.484169E-05,0.2295,43,0.0153,-6.74754E-05,0.2295,103
0.0162,-4.599069E-05,0.243,44,0.0162,-4.632639E-05,0.243,108
0.0171,-1.678492E-05,0.2565,44,0.0171,-8.996719E-05,0.2565,105
0.018,5.304036E-05,0.27,43,0.018,-6.64683E-05,0.27,106
0.0189,-1.007095E-06,0.2835,43,0.0189,-2.719158E-05,0.2835,106
0.0198,-7.385367E-06,0.297,42,0.0198,-1.913481E-05,0.297,107
0.0207,8.392462E-06,0.3105,43,0.0207,-2.047761E-05,0.3105,107
0.0216,-8.392462E-06,0.324,44,0.0216,-7.049668E-06,0.324,104
0.0225,-4.36408E-05,0.3375,44,0.0225,-1.443504E-05,0.3375,105
0.0234,-7.653925E-05,0.351,44,0.0234,5.035477E-06,0.351,104
0.0243,-0.000126894,0.3645,43,0.0243,-1.678492E-06,0.3645,108
0.0252,1.510643E-05,0.378,43,0.0252,-1.342794E-06,0.378,109
0.0261,1.007095E-06,0.3915,43,0.0261,4.028382E-06,0.3915,106
0.027,6.277562E-05,0.405,44,0.027,1.174945E-05,0.405,106
0.0279,3.356985E-06,0.4185,45,0.0279,1.443504E-05,0.4185,105
0.0288,2.954147E-05,0.432,43,0.0288,-2.786297E-05,0.432,104
0.0297,1.947051E-05,0.4455,45,0.0297,3.625543E-05,0.4455,105
0.0306,-0.0001641566,0.459,43,0.0306,6.915389E-05,0.459,103
0.0315,-0.0001164874,0.4725,44,0.0315,1.242084E-05,0.4725,103
0.0324,-1.007095E-05,0.486,43,0.0324,2.014191E-06,0.486,104
0.0333,-7.821774E-05,0.4995,45,0.0333,7.620356E-05,0.4995,104
0.0342,-5.874724E-05,0.513,45,0.0342,2.383459E-05,0.513,105
0.0351,0.0001040665,0.5265,45,0.0351,-3.390555E-05,0.5265,102
0.036,-4.733349E-05,0.54,44,0.036,4.229801E-05,0.54,104
0.0369,-1.309224E-05,0.5535,44,0.0369,5.035477E-05,0.5535,103
0.0378,2.719158E-05,0.567,45,0.0378,-1.678492E-05,0.567,107
0.0387,4.632639E-05,0.5805,44,0.0387,1.007095E-05,0.5805,107
0.0396,-5.471885E-05,0.594,45,0.0396,6.74754E-05,0.594,106
0.0405,-6.51255E-05,0.6075,45,0.0405,2.887007E-05,0.6075,107
0.0414,-1.376364E-05,0.621,45,0.0414,1.309224E-05,0.621,105
0.0423,1.846342E-05,0.6345,45,0.0423,-1.409934E-05,0.6345,105
0.0432,2.18204E-05,0.648,45,0.0432,3.927672E-05,0.648,103
0.0441,9.500267E-05,0.6615,44,0.0441,4.263371E-05,0.6615,104
0.045,2.24918E-05,0.675,44,0.045,8.392462E-06,0.675,105
0.0459,4.901198E-05,0.6885,45,0.0459,-2.719158E-05,0.6885,104
0.0468,3.692683E-05,0.702,45,0.0468,4.33051E-05,0.702,107
0.0477,-1.846342E-05,0.7155,45,0.0477,1.107805E-05,0.7155,106
0.0486,4.800488E-05,0.729,45,0.0486,-3.961242E-05,0.729,106
0.0495,-3.356985E-06,0.7425,43,0.0495,4.49836E-05,0.7425,105
0.0504,-6.64683E-05,0.756,44,0.0504,2.652018E-05,0.756,105
0.0513,-4.934768E-05,0.7695,44,0.0513,-5.136187E-05,0.7695,104
0.0522,7.251087E-05,0.783,45,0.0522,-3.088426E-05,0.783,104
0.0531,-1.644922E-05,0.7965,44,0.0531,-1.644922E-05,0.7965,107
0.054,-7.284657E-05,0.81,46,0.054,-4.129091E-05,0.81,105
0.0549,-8.728161E-06,0.8235,46,0.0549,-4.46479E-05,0.8235,104
0.0558,8.392462E-05,0.837,46,0.0558,-0.0001010452,0.837,106
0.0567,-3.021286E-06,0.8505,46,0.0567,-6.143282E-05,0.8505,106
0.0576,-0.0001618067,0.864,45,0.0576,-7.318227E-05,0.864,106
0.0585,-6.61326E-05,0.8775,46,0.0585,-0.000112459,0.8775,102
0.0594,-1.275654E-05,0.891,45,0.0594,-0.0001064164,0.891,106
0.0603,-9.298848E-05,0.9045,44,0.0603,-3.860533E-05,0.9045,104
0.0612,-3.189136E-05,0.918,43,0.0612,-6.076142E-05,0.918,103
0.0621,0.0001111162,0.9315,42,0.0621,-0.0001258869,0.9315,101
0.063,-6.54612E-05,0.945,42,0.063,-3.323415E-05,0.945,104
0.0639,3.289845E-05,0.9585,42,0.0639,-3.356985E-07,0.9585,102
0.0648,0.0001510643,0.972,41,0.0648,-7.385367E-05,0.972,105
0.0657,5.136187E-05,0.9855,40,0.0657,-2.719158E-05,0.9855,106
0.0666,-2.987716E-05,0.999,40,0.0666,-7.049668E-06,0.999,106
0.0675,-1.678492E-05,1.0125,40,0.0675,-1.309224E-05,1.0125,103
0.0684,-4.46479E-05,1.026,42,0.0684,-3.356985E-07,1.026,103
0.0693,6.378271E-06,1.0395,44,0.0693,-2.316319E-05,1.0395,100
0.0702,2.24918E-05,1.053,43,0.0702,2.652018E-05,1.053,104
0.0711,-9.701686E-05,1.0665,44,0.0711,3.860533E-05,1.0665,101
0.072,-7.049668E-06,1.08,44,0.072,2.719158E-05,1.08,101
0.0729,4.263371E-05,1.0935,45,0.0729,2.920577E-05,1.0935,99
0.07380001,-2.18204E-05,1.107,45,0.07380001,7.721065E-05,1.107,103
0.07470001,-5.539025E-05,1.1205,43,0.07470001,1.644922E-05,1.1205,103
0.0756,4.229801E-05,1.134,45,0.0756,-4.162661E-05,1.134,104
0.0765,-2.920577E-05,1.1475,45,0.0765,4.061952E-05,1.1475,102
0.0774,-7.922484E-05,1.161,45,0.0774,6.042573E-06,1.161,100
0.0783,3.021286E-06,1.1745,45,0.0783,-7.251087E-05,1.1745,103
0.0792,-3.759823E-05,1.188,45,0.0792,-5.270466E-05,1.188,102
0.0801,-0.0001477073,1.2015,46,0.0801,-3.256275E-05,1.2015,96
0.081,-5.136187E-05,1.215,46,0.081,-4.095522E-05,1.215,102
0.0819,4.934768E-05,1.2285,47,0.0819,-6.74754E-05,1.2285,101
0.0828,2.1149E-05,1.242,47,0.0828,-0.0001178302,1.242,100
0.0837,2.652018E-05,1.2555,45,0.0837,-8.191043E-05,1.2555,101
0.0846,6.54612E-05,1.269,45,0.0846,-8.89601E-05,1.269,100
0.0855,4.263371E-05,1.2825,45,0.0855,-0.0001174945,1.2825,102
0.0864,1.980621E-05,1.296,45,0.0864,-0.0001275654,1.296,102
0.0873,-3.323415E-05,1.3095,46,0.0873,-3.793393E-05,1.3095,101
0.0882,1.309224E-05,1.323,44,0.0882,-5.975433E-05,1.323,102
0.0891,3.189136E-05,1.3365,45,0.0891,-0.0001225299,1.3365,101
0.09,-4.46479E-05,1.35,46,0.09,-9.735256E-06,1.35,100
0.0909,-6.210422E-05,1.3635,42,0.0909,2.1149E-05,1.3635,102
0.0918,-1.678492E-05,1.377,44,0.0918,-7.049668E-05,1.377,102
0.0927,7.083238E-05,1.3905,44,0.0927,-1.477073E-05,1.3905,99
0.0936,-3.021286E-05,1.404,43,0.0936,2.349889E-05,1.404,101
0.09450001,-2.081331E-05,1.4175,43,0.09450001,-1.980621E-05,1.4175,100
0.09540001,6.713969E-07,1.431,42,0.09540001,-2.786297E-05,1.431,100
0.09630001,5.337606E-05,1.4445,42,0.09630001,-5.337606E-05,1.4445,103
0.0972,1.745632E-05,1.458,42,0.0972,-1.342794E-06,1.458,101
0.0981,-0.0001487144,1.4715,42,0.0981,6.378271E-06,1.4715,99
0.099,-3.726253E-05,1.485,41,0.099,-1.174945E-05,1.485,100
0.0999,7.721065E-06,1.4985,40,0.0999,-5.035477E-06,1.4985,98
0.1008,-7.956054E-05,1.512,40,0.1008,6.344701E-05,1.512,101
0.1017,3.189136E-05,1.5255,41,0.1017,2.584878E-05,1.5255,100
0.1026,7.217517E-05,1.539,40,0.1026,-1.644922E-05,1.539,102
0.1035,-5.035477E-05,1.5525,40,0.1035,8.761731E-05,1.5525,101
0.1044,6.009003E-05,1.566,40,0.1044,7.653925E-05,1.566,102
0.1053,0.0001003738,1.5795,39,0.1053,2.517739E-05,1.5795,100
0.1062,-9.567407E-05,1.593,41,0.1062,1.846342E-05,1.593,102
0.1071,-0.0001114519,1.6065,40,0.1071,6.411841E-05,1.6065,101
0.108,-5.404745E-05,1.62,39,0.108,3.692683E-05,1.62,104
0.1089,-2.349889E-06,1.6335,39,0.1089,2.24918E-05,1.6335,102
0.1098,1.242084E-05,1.647,40,0.1098,-2.484169E-05,1.647,105
0.1107,4.46479E-05,1.6605,41,0.1107,3.189136E-05,1.6605,100
0.1116,4.53193E-05,1.674,40,0.1116,1.812772E-05,1.674,98
0.1125,4.666209E-05,1.6875,40,0.1125,-3.222705E-05,1.6875,105
0.1134,0.0001339437,1.701,40,0.1134,-3.323415E-05,1.701,101
0.1143,2.24918E-05,1.7145,39,0.1143,1.544213E-05,1.7145,102
0.1152,-3.457694E-05,1.728,38,0.1152,-2.21561E-05,1.728,104
0.1161,8.526741E-05,1.7415,40,0.1161,-8.191043E-05,1.7415,105
0.117,1.779202E-05,1.755,40,0.117,1.141375E-05,1.755,99
0.1179,-0.0001101091,1.7685,41,0.1179,1.107805E-05,1.7685,103
0.1188,-2.987716E-05,1.782,40,0.1188,-6.881819E-05,1.782,103
0.1197,-1.678492E-06,1.7955,39,0.1197,-4.162661E-05,1.7955,101
0.1206,-8.86244E-05,1.809,40,0.1206,-1.980621E-05,1.809,98
0.1215,-5.438316E-05,1.8225,40,0.1215,-4.968337E-05,1.8225,104
0.1224,-1.644922E-05,1.836,41,0.1224,-4.53193E-05,1.836,103
0.1233,4.666209E-05,1.8495,40,0.1233,-5.270466E-05,1.8495,102
0.1242,1.678492E-06,1.863,40,0.1242,9.735256E-06,1.863,101
0.1251,2.316319E-05,1.8765,41,0.1251,6.378271E-06,1.8765,102
0.126,6.57969E-05,1.89,42,0.126,-3.088426E-05,1.89,103
0.1269,1.846342E-05,1.9035,42,0.1269,-4.061952E-05,1.9035,101
0.1278,-4.867628E-05,1.917,40,0.1278,3.390555E-05,1.917,101
0.1287,2.954147E-05,1.9305,41,0.1287,2.719158E-05,1.9305,102
0.1296,7.183947E-05,1.944,41,0.1296,-3.524834E-05,1.944,101
0.1305,-5.001907E-05,1.9575,42,0.1305,3.256275E-05,1.9575,104
0.1314,-0.0001037308,1.971,40,0.1314,4.229801E-05,1.971,101
0.1323,-7.284657E-05,1.9845,41,0.1323,-3.390555E-05,1.9845,101
0.1332,-3.994812E-05,1.998,41,0.1332,-2.584878E-05,1.998,104
0.1341,-0.000133608,2.0115,40,0.1341,1.275654E-05,2.0115,105
0.135,-4.33051E-05,2.025,40,0.135,2.349889E-06,2.025,104
0.1359,-7.687495E-05,2.0385,41,0.1359,2.081331E-05,2.0385,102
0.1368,1.846342E-05,2.052,40,0.1368,-1.510643E-05,2.052,106
0.1377,8.761731E-05,2.0655,42,0.1377,7.385367E-06,2.0655,102
0.1386,4.129091E-05,2.079,40,0.1386,4.29694E-05,2.079,104
0.1395,4.33051E-05,2.0925,40,0.1395,-1.208515E-05,2.0925,102
0.1404,6.243992E-05,2.106,40,0.1404,-3.256275E-05,2.106,105
0.1413,-6.243992E-05,2.1195,42,0.1413,2.383459E-05,2.1195,100
0.1422,-4.162661E-05,2.133,42,0.1422,-2.18204E-05,2.133,98
0.1431,7.351797E-05,2.1465,41,0.1431,-8.090334E-05,2.1465,103
0.144,-8.191043E-05,2.16,40,0.144,-1.712062E-05,2.16,104
0.1449,-0.0001060807,2.1735,40,0.1449,-2.014191E-06,2.1735,100
0.1458,-2.21561E-05,2.187,40,0.1458,-7.284657E-05,2.187,103
0.1467,0.0001030594,2.2005,40,0.1467,-2.18204E-05,2.2005,105
0.1476,-3.927672E-05,2.214,41,0.1476,2.1149E-05,2.214,102
