X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,6.378271E-06,0.000000,46,0.000000,-0.0001144732,0.000000,103
0.0009,-1.913481E-05,0.0135,48,0.0009,-0.0001087663,0.0135,104
0.0018,-4.867628E-05,0.027,48,0.0018,-8.761731E-05,0.027,101
0.0027,1.980621E-05,0.0405,47,0.0027,-6.915389E-05,0.0405,105
0.0036,7.821774E-05,0.054,47,0.0036,-7.083238E-05,0.054,102
0.0045,1.846342E-05,0.0675,46,0.0045,-6.74754E-05,0.0675,101
0.0054,-4.33051E-05,0.081,48,0.0054,-5.404745E-05,0.081,103
0.0063,-1.376364E-05,0.0945,47,0.0063,-5.606165E-05,0.0945,102
0.0072,-1.040665E-05,0.108,48,0.0072,-4.263371E-05,0.108,105
0.0081,-5.941863E-05,0.1215,47,0.0081,-2.316319E-05,0.1215,99
0.009000001,-2.584878E-05,0.135,47,0.009000001,-2.014191E-06,0.135,101
0.0099,-3.390555E-05,0.1485,47,0.0099,-5.371176E-06,0.1485,100
0.0108,-4.49836E-05,0.162,47,0.0108,2.349889E-06,0.162,101
0.0117,-8.090334E-05,0.1755,46,0.0117,1.577783E-05,0.1755,103
0.0126,-5.069047E-05,0.189,46,0.0126,3.356985E-06,0.189,102
0.0135,-5.404745E-05,0.2025,46,0.0135,-5.035477E-06,0.2025,101
0.0144,-9.735256E-06,0.216,46,0.0144,-9.735256E-06,0.216,100
0.0153,-3.927672E-05,0.2295,47,0.0153,5.706874E-06,0.2295,101
0.0162,1.443504E-05,0.243,47,0.0162,-8.728161E-06,0.243,102
0.0171,3.860533E-05,0.2565,48,0.0171,-2.28275E-05,0.2565,102
0.018,2.752728E-05,0.27,47,0.018,-2.719158E-05,0.27,102
0.0189,2.752728E-05,0.2835,47,0.0189,-2.719158E-05,0.2835,102
0.0198,1.846342E-05,0.297,48,0.0198,-2.18204E-05,0.297,104
0.0207,5.706874E-05,0.3105,48,0.0207,-1.107805E-05,0.3105,103
0.0216,3.155566E-05,0.324,49,0.0216,-2.349889E-05,0.324,103
0.0225,-3.256275E-05,0.3375,47,0.0225,-4.53193E-05,0.3375,103
0.0234,-5.471885E-05,0.351,49,0.0234,-3.793393E-05,0.351,100
0.0243,-4.53193E-05,0.3645,48,0.0243,-5.606165E-05,0.3645,102
0.0252,-8.493171E-05,0.378,48,0.0252,-6.6804E-05,0.378,103
0.0261,-4.934768E-05,0.3915,47,0.0261,-9.231708E-05,0.3915,99
0.027,2.887007E-05,0.405,48,0.027,-0.0001188373,0.405,105
0.0279,-2.652018E-05,0.4185,48,0.0279,-0.0001292439,0.4185,103
0.0288,3.155566E-05,0.432,47,0.0288,-0.0001497215,0.432,101
0.0297,8.560311E-05,0.4455,48,0.0297,-9.903105E-05,0.4455,103
0.0306,-2.920577E-05,0.459,47,0.0306,-9.701686E-05,0.459,104
0.0315,-4.229801E-05,0.4725,48,0.0315,-9.869535E-05,0.4725,100
0.0324,6.277562E-05,0.486,46,0.0324,-7.116808E-05,0.486,102
0.0333,7.049668E-06,0.4995,47,0.0333,-1.141375E-05,0.4995,104
0.0342,-9.063859E-06,0.513,48,0.0342,-3.927672E-05,0.513,99
0.0351,0.0001077592,0.5265,47,0.0351,-6.61326E-05,0.5265,102
0.036,4.699779E-06,0.54,46,0.036,1.443504E-05,0.54,102
0.0369,3.894102E-05,0.5535,48,0.0369,2.383459E-05,0.5535,102
0.0378,8.157473E-05,0.567,48,0.0378,1.141375E-05,0.567,101
0.0387,7.486076E-05,0.5805,47,0.0387,7.284657E-05,0.5805,101
0.0396,-4.229801E-05,0.594,47,0.0396,0.000105745,0.594,99
0.0405,-4.196231E-05,0.6075,47,0.0405,0.0001037308,0.6075,102
0.0414,1.040665E-05,0.621,47,0.0414,9.298848E-05,0.621,103
0.0423,5.203327E-05,0.6345,47,0.0423,3.860533E-05,0.6345,101
0.0432,-1.242084E-05,0.648,46,0.0432,7.586786E-05,0.648,99
0.0441,-5.404745E-05,0.6615,46,0.0441,8.224613E-05,0.6615,101
0.045,-2.450599E-05,0.675,47,0.045,6.009003E-05,0.675,103
0.0459,4.632639E-05,0.6885,46,0.0459,2.719158E-05,0.6885,101
0.0468,1.040665E-05,0.702,45,0.0468,7.486076E-05,0.702,101
0.0477,-1.007095E-05,0.7155,45,0.0477,5.270466E-05,0.7155,98
0.0486,5.606165E-05,0.729,42,0.0486,-2.450599E-05,0.729,100
0.0495,-1.007095E-05,0.7425,42,0.0495,2.752728E-05,0.7425,102
0.0504,9.735256E-06,0.756,43,0.0504,-8.392462E-06,0.756,101
0.0513,6.143282E-05,0.7695,44,0.0513,-4.901198E-05,0.7695,99
0.0522,5.404745E-05,0.783,42,0.0522,-3.692683E-06,0.783,103
0.0531,-7.721065E-06,0.7965,42,0.0531,2.349889E-05,0.7965,102
0.054,1.812772E-05,0.81,41,0.054,-7.721065E-06,0.81,102
0.0549,1.577783E-05,0.8235,40,0.0549,8.056763E-06,0.8235,100
0.0558,9.634547E-05,0.837,41,0.0558,-9.063859E-06,0.837,100
0.0567,-1.007095E-06,0.8505,43,0.0567,3.860533E-05,0.8505,99
0.0576,-0.000133608,0.864,44,0.0576,4.43122E-05,0.864,100
0.0585,-1.577783E-05,0.8775,45,0.0585,8.056763E-06,0.8775,98
0.0594,4.733349E-05,0.891,44,0.0594,-1.208515E-05,0.891,99
0.0603,-0.0001050736,0.9045,44,0.0603,1.980621E-05,0.9045,105
0.0612,-6.71397E-05,0.918,45,0.0612,-1.846342E-05,0.918,99
0.0621,9.500267E-05,0.9315,45,0.0621,-7.217517E-05,0.9315,102
0.063,-7.418937E-05,0.945,43,0.063,-1.510643E-05,0.945,103
0.0639,-2.954147E-05,0.9585,44,0.0639,-3.558404E-05,0.9585,100
0.0648,8.493171E-05,0.972,44,0.0648,-9.030289E-05,0.972,100
0.0657,-1.376364E-05,0.9855,44,0.0657,-7.721065E-05,0.9855,101
0.0666,-9.097429E-05,0.999,43,0.0666,-5.539025E-05,0.999,99
0.0675,-3.356985E-05,1.0125,43,0.0675,-6.57969E-05,1.0125,101
0.0684,-4.162661E-05,1.026,43,0.0684,-5.438316E-05,1.026,98
0.0693,-3.927672E-05,1.0395,43,0.0693,-6.478981E-05,1.0395,103
0.0702,-9.735256E-06,1.053,43,0.0702,-4.36408E-06,1.053,99
0.0711,-1.913481E-05,1.0665,45,0.0711,1.913481E-05,1.0665,101
0.072,-2.24918E-05,1.08,43,0.072,-1.678492E-06,1.08,103
0.0729,1.174945E-05,1.0935,42,0.0729,-1.443504E-05,1.0935,101
0.07380001,-3.121996E-05,1.107,42,0.07380001,3.222705E-05,1.107,101
0.07470001,-5.471885E-05,1.1205,42,0.07470001,1.141375E-05,1.1205,101
0.0756,1.712062E-05,1.134,41,0.0756,-5.505455E-05,1.134,104
0.0765,-6.344701E-05,1.1475,41,0.0765,2.316319E-05,1.1475,101
0.0774,-0.0001097734,1.161,42,0.0774,1.779202E-05,1.161,102
0.0783,-1.913481E-05,1.1745,42,0.0783,-3.759823E-05,1.1745,102
0.0792,9.600977E-05,1.188,41,0.0792,9.735256E-06,1.188,100
0.0801,-9.970245E-05,1.2015,42,0.0801,1.577783E-05,1.2015,101
0.081,-4.800488E-05,1.215,41,0.081,5.035477E-06,1.215,104
0.0819,4.666209E-05,1.2285,40,0.0819,-1.779202E-05,1.2285,103
0.0828,1.510643E-05,1.242,41,0.0828,-4.49836E-05,1.242,101
0.0837,-2.383459E-05,1.2555,40,0.0837,-9.735256E-06,1.2555,97
0.0846,-3.121996E-05,1.269,40,0.0846,-1.913481E-05,1.269,102
0.0855,1.913481E-05,1.2825,40,0.0855,-6.848249E-05,1.2825,101
0.0864,4.46479E-05,1.296,41,0.0864,-7.150377E-05,1.296,103
0.0873,-7.418937E-05,1.3095,41,0.0873,-1.409934E-05,1.3095,103
0.0882,-3.289845E-05,1.323,42,0.0882,-3.860533E-05,1.323,103
0.0891,6.076142E-05,1.3365,43,0.0891,-5.404745E-05,1.3365,102
0.09,-1.644922E-05,1.35,43,0.09,8.392462E-06,1.35,105
