X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-2.719158E-05,0.000000,44,0.000000,-1.007095E-05,0.000000,104
0.0009,-3.860533E-05,0.0135,46,0.0009,4.028382E-06,0.0135,104
0.0018,-4.196231E-05,0.027,45,0.0018,1.174945E-05,0.027,105
0.0027,-5.673304E-05,0.0405,47,0.0027,2.685588E-06,0.0405,107
0.0036,-2.652018E-05,0.054,45,0.0036,-2.047761E-05,0.054,104
0.0045,-2.014191E-05,0.0675,45,0.0045,-2.719158E-05,0.0675,109
0.0054,-3.289845E-05,0.081,45,0.0054,-3.356985E-05,0.081,105
0.0063,-9.735256E-06,0.0945,46,0.0063,-2.584878E-05,0.0945,104
0.0072,7.721065E-06,0.108,46,0.0072,-2.853437E-05,0.108,103
0.0081,-4.666209E-05,0.1215,45,0.0081,-4.46479E-05,0.1215,104
0.009000001,-1.007095E-06,0.135,45,0.009000001,-3.088426E-05,0.135,106
0.0099,5.203327E-05,0.1485,46,0.0099,-2.014191E-06,0.1485,105
0.0108,-5.270466E-05,0.162,44,0.0108,-1.712062E-05,0.162,107
0.0117,-9.903105E-05,0.1755,45,0.0117,2.047761E-05,0.1755,105
0.0126,-4.061952E-05,0.189,45,0.0126,-9.063859E-06,0.189,108
0.0135,-1.980621E-05,0.2025,44,0.0135,-1.779202E-05,0.2025,106
0.0144,3.356985E-07,0.216,45,0.0144,-1.980621E-05,0.216,104
0.0153,-6.713969E-07,0.2295,44,0.0153,-8.728161E-06,0.2295,101
0.0162,4.229801E-05,0.243,45,0.0162,-2.786297E-05,0.243,105
0.0171,-2.484169E-05,0.2565,45,0.0171,-5.706874E-05,0.2565,103
0.018,-2.517739E-05,0.27,44,0.018,-3.994812E-05,0.27,105
0.0189,6.344701E-05,0.2835,44,0.0189,-3.256275E-05,0.2835,106
0.0198,-8.728161E-06,0.297,44,0.0198,-3.088426E-05,0.297,102
0.0207,3.591974E-05,0.3105,44,0.0207,-3.994812E-05,0.3105,104
0.0216,5.841154E-05,0.324,45,0.0216,-4.196231E-05,0.324,106
0.0225,1.812772E-05,0.3375,45,0.0225,-3.558404E-05,0.3375,107
0.0234,0.0001148089,0.351,45,0.0234,-2.21561E-05,0.351,103
0.0243,9.365987E-05,0.3645,45,0.0243,-3.189136E-05,0.3645,103
0.0252,4.196231E-05,0.378,46,0.0252,-4.867628E-05,0.378,108
0.0261,4.129091E-05,0.3915,46,0.0261,-2.18204E-05,0.3915,105
0.027,3.524834E-05,0.405,45,0.027,-1.913481E-05,0.405,106
0.0279,7.183947E-05,0.4185,44,0.0279,-1.644922E-05,0.4185,107
0.0288,3.860533E-05,0.432,45,0.0288,-6.51255E-05,0.432,107
0.0297,2.21561E-05,0.4455,44,0.0297,-4.36408E-06,0.4455,105
0.0306,-7.452507E-05,0.459,46,0.0306,6.378271E-06,0.459,107
0.0315,-5.941863E-05,0.4725,44,0.0315,-3.793393E-05,0.4725,107
0.0324,1.040665E-05,0.486,45,0.0324,-4.800488E-05,0.486,105
0.0333,-6.478981E-05,0.4995,44,0.0333,2.047761E-05,0.4995,106
0.0342,-7.418937E-05,0.513,45,0.0342,-1.678492E-06,0.513,105
0.0351,5.169757E-05,0.5265,46,0.0351,-8.392462E-05,0.5265,109
0.036,1.040665E-05,0.54,45,0.036,2.349889E-05,0.54,104
0.0369,1.644922E-05,0.5535,45,0.0369,1.477073E-05,0.5535,104
0.0378,0.000119173,0.567,45,0.0378,-5.438316E-05,0.567,107
0.0387,8.258183E-05,0.5805,47,0.0387,-1.074235E-05,0.5805,106
0.0396,7.721065E-06,0.594,46,0.0396,2.383459E-05,0.594,103
0.0405,-1.846342E-05,0.6075,46,0.0405,-5.706874E-06,0.6075,107
0.0414,7.385367E-06,0.621,45,0.0414,-1.913481E-05,0.621,107
0.0423,3.793393E-05,0.6345,46,0.0423,-5.807584E-05,0.6345,105
0.0432,-2.719158E-05,0.648,45,0.0432,6.042573E-06,0.648,102
0.0441,-5.740444E-05,0.6615,44,0.0441,2.014191E-05,0.6615,106
0.045,1.040665E-05,0.675,45,0.045,-3.054856E-05,0.675,106
0.0459,-2.719158E-05,0.6885,44,0.0459,-4.061952E-05,0.6885,107
0.0468,-8.157473E-05,0.702,45,0.0468,2.618448E-05,0.702,104
0.0477,3.021286E-06,0.7155,44,0.0477,-1.678492E-06,0.7155,107
