X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-8.392462E-06,0.000000,45,0.000000,-2.618448E-05,0.000000,106
0.0009,-5.404745E-05,0.0135,46,0.0009,3.189136E-05,0.0135,107
0.0018,-0.0001077592,0.027,46,0.0018,3.927672E-05,0.027,106
0.0027,-7.486076E-05,0.0405,45,0.0027,2.349889E-05,0.0405,104
0.0036,-2.920577E-05,0.054,45,0.0036,-1.980621E-05,0.054,107
0.0045,-2.853437E-05,0.0675,44,0.0045,-3.256275E-05,0.0675,104
0.0054,-9.701686E-05,0.081,44,0.0054,-1.846342E-05,0.081,108
0.0063,-3.491264E-05,0.0945,46,0.0063,-2.987716E-05,0.0945,105
0.0072,-3.356985E-07,0.108,45,0.0072,-9.735256E-06,0.108,103
0.0081,-4.699779E-05,0.1215,45,0.0081,-2.450599E-05,0.1215,108
0.009000001,-3.356985E-07,0.135,45,0.009000001,-3.457694E-05,0.135,107
0.0099,-3.356985E-07,0.1485,45,0.0099,-2.685588E-06,0.1485,105
0.0108,-2.18204E-05,0.162,46,0.0108,-2.584878E-05,0.162,106
0.0117,2.786297E-05,0.1755,44,0.0117,-5.069047E-05,0.1755,104
0.0126,2.383459E-05,0.189,45,0.0126,-5.941863E-05,0.189,106
0.0135,-3.256275E-05,0.2025,43,0.0135,-4.733349E-05,0.2025,106
0.0144,1.376364E-05,0.216,44,0.0144,-5.807584E-05,0.216,104
0.0153,8.392462E-06,0.2295,44,0.0153,-9.735256E-06,0.2295,106
0.0162,3.961242E-05,0.243,44,0.0162,-2.517739E-05,0.243,107
0.0171,-7.049668E-06,0.2565,43,0.0171,-7.049668E-05,0.2565,106
0.018,3.927672E-05,0.27,44,0.018,-4.095522E-05,0.27,106
0.0189,4.33051E-05,0.2835,45,0.0189,-2.28275E-05,0.2835,106
0.0198,3.054856E-05,0.297,43,0.0198,-1.443504E-05,0.297,102
0.0207,7.083238E-05,0.3105,43,0.0207,-1.510643E-05,0.3105,109
0.0216,4.632639E-05,0.324,45,0.0216,-1.443504E-05,0.324,109
0.0225,-1.174945E-05,0.3375,45,0.0225,-7.049668E-06,0.3375,108
0.0234,-3.826963E-05,0.351,45,0.0234,-1.577783E-05,0.351,111
0.0243,-3.054856E-05,0.3645,43,0.0243,-1.141375E-05,0.3645,105
0.0252,1.779202E-05,0.378,43,0.0252,1.913481E-05,0.378,106
0.0261,1.309224E-05,0.3915,43,0.0261,8.056763E-06,0.3915,106
0.027,8.224613E-05,0.405,42,0.027,1.342794E-06,0.405,103
0.0279,1.242084E-05,0.4185,43,0.0279,-2.719158E-05,0.4185,108
0.0288,5.001907E-05,0.432,42,0.0288,-5.337606E-05,0.432,109
0.0297,7.083238E-05,0.4455,42,0.0297,8.728161E-06,0.4455,107
0.0306,-0.0001534142,0.459,42,0.0306,-3.021286E-06,0.459,104
0.0315,-0.0001050736,0.4725,42,0.0315,-4.33051E-05,0.4725,108
0.0324,1.980621E-05,0.486,42,0.0324,-6.814679E-05,0.486,104
0.0333,-7.284657E-05,0.4995,43,0.0333,2.920577E-05,0.4995,108
0.0342,-8.96315E-05,0.513,42,0.0342,-4.36408E-06,0.513,109
0.0351,7.620356E-05,0.5265,41,0.0351,-0.0001104448,0.5265,107
0.036,-1.040665E-05,0.54,42,0.036,-3.356985E-07,0.54,106
0.0369,5.706874E-05,0.5535,42,0.0369,-3.021286E-06,0.5535,103
0.0378,0.000144686,0.567,41,0.0378,-9.433127E-05,0.567,106
0.0387,0.0001258869,0.5805,42,0.0387,-4.46479E-05,0.5805,108
0.0396,-2.18204E-05,0.594,41,0.0396,9.399558E-06,0.594,108
0.0405,-4.666209E-05,0.6075,40,0.0405,-3.591974E-05,0.6075,109
0.0414,1.174945E-05,0.621,41,0.0414,-3.927672E-05,0.621,110
0.0423,2.383459E-05,0.6345,43,0.0423,-9.332418E-05,0.6345,108
0.0432,-1.107805E-05,0.648,40,0.0432,-2.383459E-05,0.648,107
0.0441,-7.284657E-05,0.6615,41,0.0441,-2.887007E-05,0.6615,107
0.045,-9.164568E-05,0.675,40,0.045,-6.881819E-05,0.675,107
0.0459,6.378271E-06,0.6885,41,0.0459,-6.076142E-05,0.6885,108
0.0468,-9.399558E-06,0.702,40,0.0468,1.040665E-05,0.702,106
0.0477,-6.277562E-05,0.7155,40,0.0477,-2.786297E-05,0.7155,109
0.0486,1.376364E-05,0.729,41,0.0486,-8.761731E-05,0.729,107
0.0495,-5.606165E-05,0.7425,40,0.0495,3.826963E-05,0.7425,106
0.0504,-2.24918E-05,0.756,42,0.0504,3.659113E-05,0.756,109
0.0513,2.517739E-05,0.7695,42,0.0513,-4.162661E-05,0.7695,106
0.0522,-5.069047E-05,0.783,42,0.0522,-2.920577E-05,0.783,107
0.0531,-8.493171E-05,0.7965,42,0.0531,4.800488E-05,0.7965,108
0.054,-5.069047E-05,0.81,42,0.054,4.129091E-05,0.81,106
0.0549,-2.618448E-05,0.8235,41,0.0549,3.189136E-05,0.8235,105
0.0558,0.0001017166,0.837,42,0.0558,-3.625543E-05,0.837,106
0.0567,6.411841E-05,0.8505,42,0.0567,3.390555E-05,0.8505,107
0.0576,4.263371E-05,0.864,42,0.0576,3.759823E-05,0.864,111
0.0585,7.217517E-05,0.8775,42,0.0585,-4.229801E-05,0.8775,106
0.0594,8.89601E-05,0.891,41,0.0594,-6.210422E-05,0.891,106
0.0603,-0.0001030594,0.9045,43,0.0603,3.961242E-05,0.9045,103
0.0612,-5.404745E-05,0.918,43,0.0612,2.484169E-05,0.918,105
