X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,3.793393E-05,0.000000,48,0.000000,-3.323415E-05,0.000000,107
0.0009,-5.807584E-05,0.0135,48,0.0009,-2.584878E-05,0.0135,103
0.0018,-7.083238E-05,0.027,47,0.0018,-3.323415E-05,0.027,104
0.0027,3.726253E-05,0.0405,47,0.0027,-6.74754E-05,0.0405,101
0.0036,6.78111E-05,0.054,46,0.0036,-0.000112459,0.054,101
0.0045,2.081331E-05,0.0675,48,0.0045,-0.000115816,0.0675,103
0.0054,-1.678492E-06,0.081,47,0.0054,-9.835965E-05,0.081,104
0.0063,-4.599069E-05,0.0945,47,0.0063,-8.996719E-05,0.0945,104
0.0072,-2.920577E-05,0.108,47,0.0072,-8.661021E-05,0.108,107
0.0081,-3.155566E-05,0.1215,48,0.0081,-8.69459E-05,0.1215,101
0.009000001,3.155566E-05,0.135,47,0.009000001,-7.486076E-05,0.135,102
0.0099,-3.927672E-05,0.1485,47,0.0099,-5.706874E-05,0.1485,106
0.0108,-5.706874E-06,0.162,47,0.0108,-5.539025E-05,0.162,104
0.0117,8.023193E-05,0.1755,47,0.0117,-3.390555E-05,0.1755,106
0.0126,3.826963E-05,0.189,46,0.0126,-6.344701E-05,0.189,105
0.0135,9.097429E-05,0.2025,47,0.0135,-4.49836E-05,0.2025,104
0.0144,9.701686E-05,0.216,46,0.0144,-3.961242E-05,0.216,103
0.0153,7.049668E-06,0.2295,46,0.0153,-5.706874E-06,0.2295,103
0.0162,1.007095E-05,0.243,47,0.0162,-1.007095E-06,0.243,106
0.0171,-3.524834E-05,0.2565,46,0.0171,-2.920577E-05,0.2565,103
0.018,-0.0001111162,0.27,47,0.018,-2.887007E-05,0.27,108
0.0189,-8.157473E-05,0.2835,48,0.0189,-3.692683E-05,0.2835,103
0.0198,-6.277562E-05,0.297,46,0.0198,-5.371176E-05,0.297,103
0.0207,-3.793393E-05,0.3105,47,0.0207,-4.800488E-05,0.3105,105
0.0216,-9.164568E-05,0.324,47,0.0216,-6.076142E-05,0.324,108
