X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,1.376364E-05,0.000000,125,0.000000,0.0002222324,0.000000,-2
0.0009,-1.745632E-05,0.0135,124,0.0009,0.0002762798,0.0135,0
0.0018,-1.947051E-05,0.027,126,0.0018,0.000190341,0.027,-3
0.0027,2.349889E-06,0.0405,125,0.0027,0.0001044022,0.0405,-2
0.0036,-1.712062E-05,0.054,124,0.0036,6.143282E-05,0.054,-3
0.0045,0.000148043,0.0675,124,0.0045,2.987716E-05,0.0675,-2
0.0054,0.0002373388,0.081,124,0.0054,-9.735256E-06,0.081,-4
0.0063,0.0002235752,0.0945,123,0.0063,-6.948959E-05,0.0945,-3
0.0072,0.0001393149,0.108,124,0.0072,-9.533837E-05,0.108,-4
0.0081,4.934768E-05,0.1215,125,0.0081,-7.888914E-05,0.1215,-4
0.009000001,-1.040665E-05,0.135,124,0.009000001,-6.009003E-05,0.135,-4
0.0099,1.275654E-05,0.1485,125,0.0099,-3.994812E-05,0.1485,-2
0.0108,1.846342E-05,0.162,124,0.0108,-5.371176E-06,0.162,-2
0.0117,-0.0001812772,0.1755,125,0.0117,-1.913481E-05,0.1755,-5
0.0126,-0.0001359579,0.189,125,0.0126,-1.477073E-05,0.189,-2
0.0135,-9.500267E-05,0.2025,125,0.0135,-3.356985E-07,0.2025,-5
0.0144,-0.0002786297,0.216,124,0.0144,-2.316319E-05,0.216,-4
0.0153,-0.0001443503,0.2295,125,0.0153,1.275654E-05,0.2295,-5
0.0162,4.263371E-05,0.243,125,0.0162,6.713969E-07,0.243,-2
0.0171,9.063859E-06,0.2565,125,0.0171,-7.284657E-05,0.2565,-2
0.018,3.390555E-05,0.27,123,0.018,-0.0001393149,0.27,-3
0.0189,-3.390555E-05,0.2835,124,0.0189,-0.0002229038,0.2835,-6
0.0198,-9.802396E-05,0.297,123,0.0198,-0.0001752346,0.297,-5
0.0207,-6.009003E-05,0.3105,125,0.0207,-0.0001460288,0.3105,-4
0.0216,-8.090334E-05,0.324,125,0.0216,-0.0001144732,0.324,-6
0.0225,-6.915389E-05,0.3375,125,0.0225,-3.793393E-05,0.3375,-3
0.0234,6.54612E-05,0.351,125,0.0234,0.0001161517,0.351,-4
0.0243,1.644922E-05,0.3645,125,0.0243,6.478981E-05,0.3645,-1
0.0252,2.517739E-05,0.378,124,0.0252,4.061952E-05,0.378,-5
0.0261,7.620356E-05,0.3915,123,0.0261,0.0001033951,0.3915,-3
0.027,0.0001668421,0.405,124,0.027,0.0001218585,0.405,-4
0.0279,0.0001376364,0.4185,124,0.0279,9.231708E-05,0.4185,-2
0.0288,1.007095E-06,0.432,124,0.0288,6.713969E-06,0.432,-3
0.0297,3.356985E-07,0.4455,125,0.0297,-1.510643E-05,0.4455,-2
0.0306,0.0001453574,0.459,125,0.0306,-8.358892E-05,0.459,-2
0.0315,0.0001376364,0.4725,125,0.0315,-0.0001399863,0.4725,-3
0.0324,-3.524834E-05,0.486,124,0.0324,-0.0001742275,0.486,-2
0.0333,2.047761E-05,0.4995,124,0.0333,-0.0001473716,0.4995,-4
