X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-7.821774E-05,0.000000,40,0.000000,-0.0001393149,0.000000,103
0.0009,-0.0001755703,0.0135,42,0.0009,-0.0001641566,0.0135,103
0.0018,-0.000193698,0.027,40,0.0018,-0.0001211871,0.027,105
0.0027,-8.426032E-05,0.0405,40,0.0027,-0.000154757,0.0405,104
0.0036,-8.291753E-05,0.054,40,0.0036,-0.0001574426,0.054,106
0.0045,-6.713969E-07,0.0675,41,0.0045,-2.450599E-05,0.0675,103
0.0054,0.000197055,0.081,41,0.0054,0.0002171969,0.081,105
0.0063,0.0001574426,0.0945,40,0.0063,0.0002453956,0.0945,103
0.0072,0.0001305867,0.108,39,0.0072,7.284657E-05,0.108,103
0.0081,0.0001070878,0.1215,39,0.0081,4.46479E-05,0.1215,104
0.009000001,7.687495E-05,0.135,40,0.009000001,6.6804E-05,0.135,104
0.0099,8.224613E-05,0.1485,40,0.0099,8.426032E-05,0.1485,103
0.0108,-9.399558E-06,0.162,40,0.0108,2.484169E-05,0.162,105
0.0117,1.544213E-05,0.1755,38,0.0117,-3.793393E-05,0.1755,102
0.0126,-3.021286E-06,0.189,39,0.0126,-5.136187E-05,0.189,105
0.0135,1.510643E-05,0.2025,38,0.0135,-5.874724E-05,0.2025,106
0.0144,6.948959E-05,0.216,40,0.0144,-9.970245E-05,0.216,104
0.0153,-9.063859E-06,0.2295,40,0.0153,-0.0001185016,0.2295,102
0.0162,6.713969E-07,0.243,40,0.0162,-0.000112459,0.243,102
0.0171,-2.316319E-05,0.2565,39,0.0171,-0.0001366293,0.2565,106
0.018,-7.956054E-05,0.27,40,0.018,-8.96315E-05,0.27,104
0.0189,-7.251087E-05,0.2835,39,0.0189,-3.356985E-06,0.2835,104
0.0198,-1.678492E-05,0.297,39,0.0198,-4.263371E-05,0.297,104
0.0207,-1.644922E-05,0.3105,39,0.0207,-8.426032E-05,0.3105,102
0.0216,-4.33051E-05,0.324,40,0.0216,-3.961242E-05,0.324,103
0.0225,-2.014191E-06,0.3375,39,0.0225,-1.510643E-05,0.3375,105
0.0234,0.0001661708,0.351,41,0.0234,-8.426032E-05,0.351,104
0.0243,0.0001185016,0.3645,39,0.0243,-0.0001188373,0.3645,100
0.0252,9.735256E-05,0.378,40,0.0252,-0.0001641566,0.378,107
0.0261,7.754635E-05,0.3915,39,0.0261,-0.0001896696,0.3915,105
0.027,-8.392462E-06,0.405,40,0.027,-0.0001534142,0.405,105
0.0279,-2.786297E-05,0.4185,39,0.0279,-5.136187E-05,0.4185,104
0.0288,4.934768E-05,0.432,39,0.0288,-7.553216E-05,0.432,107
0.0297,8.056763E-06,0.4455,40,0.0297,-5.035477E-06,0.4455,106
0.0306,-3.390555E-05,0.459,39,0.0306,-3.692683E-06,0.459,107
0.0315,1.779202E-05,0.4725,40,0.0315,-3.155566E-05,0.4725,103
0.0324,-2.014191E-06,0.486,40,0.0324,-5.136187E-05,0.486,103
0.0333,-5.673304E-05,0.4995,40,0.0333,-1.007095E-06,0.4995,108
0.0342,-4.599069E-05,0.513,41,0.0342,-2.349889E-06,0.513,106
0.0351,6.411841E-05,0.5265,40,0.0351,-5.304036E-05,0.5265,106
0.036,-2.887007E-05,0.54,39,0.036,-4.733349E-05,0.54,104
0.0369,-9.231708E-05,0.5535,39,0.0369,-0.0001151446,0.5535,107
0.0378,-8.392462E-06,0.567,39,0.0378,-0.0001849699,0.567,107
0.0387,-9.735256E-06,0.5805,39,0.0387,-0.0001745632,0.5805,104
0.0396,-9.567407E-05,0.594,40,0.0396,-0.0001319295,0.594,102
0.0405,-7.418937E-05,0.6075,39,0.0405,-7.150377E-05,0.6075,105
0.0414,-9.298848E-05,0.621,38,0.0414,9.970245E-05,0.621,106
0.0423,-2.685588E-06,0.6345,40,0.0423,0.0001265583,0.6345,105
0.0432,3.860533E-05,0.648,39,0.0432,0.0002856794,0.648,104
0.0441,-9.802396E-05,0.6615,39,0.0441,0.0003434196,0.6615,104
0.045,-8.023193E-05,0.675,40,0.045,0.000207126,0.675,104
0.0459,6.61326E-05,0.6885,38,0.0459,0.0001127947,0.6885,103
0.0468,6.814679E-05,0.702,40,0.0468,7.553216E-05,0.702,103
0.0477,-8.123904E-05,0.7155,39,0.0477,2.584878E-05,0.7155,104
0.0486,3.692683E-06,0.729,40,0.0486,-5.404745E-05,0.729,105
0.0495,1.712062E-05,0.7425,40,0.0495,-1.745632E-05,0.7425,108
0.0504,-3.390555E-05,0.756,38,0.0504,1.678492E-05,0.756,103
0.0513,0.000105745,0.7695,38,0.0513,-4.33051E-05,0.7695,104
0.0522,0.0001453574,0.783,38,0.0522,-2.450599E-05,0.783,105
0.0531,-6.64683E-05,0.7965,39,0.0531,3.155566E-05,0.7965,102
0.054,-6.042573E-05,0.81,40,0.054,-4.33051E-05,0.81,104
0.0549,8.728161E-06,0.8235,39,0.0549,-7.956054E-05,0.8235,107
0.0558,7.553216E-05,0.837,39,0.0558,-6.54612E-05,0.837,104
0.0567,7.183947E-05,0.8505,40,0.0567,-6.378271E-05,0.8505,104
0.0576,-7.385367E-05,0.864,39,0.0576,-0.000102388,0.864,107
0.0585,-3.558404E-05,0.8775,39,0.0585,-0.0001470359,0.8775,105
0.0594,-8.86244E-05,0.891,40,0.0594,-0.00018262,0.891,104
0.0603,-0.0001399863,0.9045,40,0.0603,-0.0001312581,0.9045,108
0.0612,-6.109713E-05,0.918,40,0.0612,-0.0001765774,0.918,107
0.0621,4.599069E-05,0.9315,40,0.0621,-0.0002262608,0.9315,103
0.063,-1.980621E-05,0.945,40,0.063,-0.0002353246,0.945,105
0.0639,1.712062E-05,0.9585,39,0.0639,-0.000190341,0.9585,104
0.0648,0.0001564355,0.972,39,0.0648,-0.0001879911,0.972,104
0.0657,0.0001164874,0.9855,39,0.0657,-0.0001520714,0.9855,102
0.0666,3.692683E-06,0.999,38,0.0666,3.793393E-05,0.999,102
0.0675,-5.539025E-05,1.0125,39,0.0675,0.0003232776,1.0125,104
0.0684,-3.189136E-05,1.026,41,0.0684,0.0003602045,1.026,105
0.0693,1.040665E-05,1.0395,39,0.0693,0.0002410315,1.0395,106
0.0702,-2.1149E-05,1.053,40,0.0702,0.0001836271,1.053,105
0.0711,-0.0001963836,1.0665,40,0.0711,9.567407E-05,1.0665,101
0.072,-7.049668E-05,1.08,42,0.072,2.1149E-05,1.08,100
0.0729,4.263371E-05,1.0935,41,0.0729,-2.853437E-05,1.0935,100
0.07380001,-9.701686E-05,1.107,42,0.07380001,4.36408E-06,1.107,100
0.07470001,-7.217517E-05,1.1205,41,0.07470001,-5.001907E-05,1.1205,104
0.0756,1.980621E-05,1.134,41,0.0756,-0.0001040665,1.134,98
0.0765,-0.000133608,1.1475,42,0.0765,-3.021286E-05,1.1475,101
0.0774,-7.956054E-05,1.161,43,0.0774,-1.913481E-05,1.161,103
0.0783,2.349889E-05,1.1745,44,0.0783,-8.056764E-05,1.1745,103
0.0792,-5.203327E-05,1.188,43,0.0792,-8.459602E-05,1.188,102
0.0801,-0.0001050736,1.2015,42,0.0801,-6.848249E-05,1.2015,103
0.081,-1.007095E-06,1.215,44,0.081,-0.000172549,1.215,102
0.0819,3.424125E-05,1.2285,42,0.0819,-0.0001779202,1.2285,104
0.0828,6.61326E-05,1.242,42,0.0828,-0.0001524071,1.242,104
0.0837,7.620356E-05,1.2555,42,0.0837,4.599069E-05,1.2555,106
0.0846,9.365987E-05,1.269,43,0.0846,0.0001842985,1.269,102
0.0855,2.24918E-05,1.2825,44,0.0855,0.0002722515,1.2825,104
0.0864,3.491264E-05,1.296,44,0.0864,0.0001688563,1.296,101
0.0873,-3.457694E-05,1.3095,42,0.0873,0.0001131304,1.3095,102
0.0882,-1.443504E-05,1.323,43,0.0882,6.74754E-05,1.323,104
0.0891,0.0001185016,1.3365,42,0.0891,-1.544213E-05,1.3365,106
0.09,9.063859E-06,1.35,44,0.09,2.920577E-05,1.35,107
0.0909,-6.948959E-05,1.3635,43,0.0909,3.323415E-05,1.3635,103
0.0918,-1.208515E-05,1.377,43,0.0918,-2.24918E-05,1.377,101
0.0927,2.987716E-05,1.3905,43,0.0927,-4.666209E-05,1.3905,103
0.0936,-6.478981E-05,1.404,44,0.0936,-3.927672E-05,1.404,105
0.09450001,-8.291753E-05,1.4175,44,0.09450001,-6.478981E-05,1.4175,104
0.09540001,-4.666209E-05,1.431,44,0.09540001,-5.471885E-05,1.431,106
0.09630001,4.263371E-05,1.4445,44,0.09630001,-6.881819E-05,1.4445,102
0.0972,-2.752728E-05,1.458,42,0.0972,-9.903105E-05,1.458,103
0.0981,-5.807584E-05,1.4715,43,0.0981,-7.083238E-05,1.4715,107
0.099,-6.713969E-06,1.485,43,0.099,-0.0001134661,1.485,104
0.0999,-3.021286E-06,1.4985,43,0.0999,-0.0001705348,1.4985,106
0.1008,-7.553216E-05,1.512,43,0.1008,-0.0001863127,1.512,105
0.1017,-7.318227E-05,1.5255,44,0.1017,-0.0003588617,1.5255,106
0.1026,-7.452507E-05,1.539,44,0.1026,-0.0004817273,1.539,104
0.1035,-0.0001252155,1.5525,45,0.1035,-0.0003356985,1.5525,106
0.1044,-9.567407E-05,1.566,44,0.1044,-4.934768E-05,1.566,104
0.1053,2.786297E-05,1.5795,44,0.1053,0.0001930266,1.5795,105
0.1062,5.270466E-05,1.593,45,0.1062,0.0003910887,1.593,107
0.1071,3.591974E-05,1.6065,44,0.1071,0.0006039216,1.6065,105
0.108,3.424125E-05,1.62,45,0.108,0.0004488289,1.62,104
