X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-0.0001688563,0.000000,49,0.000000,-4.263371E-05,0.000000,97
0.0009,-0.0002920577,0.0135,49,0.0009,1.980621E-05,0.0135,95
0.0018,-0.0001426719,0.027,49,0.0018,6.915389E-05,0.027,96
0.0027,0.0001527428,0.0405,50,0.0027,-2.752728E-05,0.0405,94
0.0036,7.486076E-05,0.054,50,0.0036,-7.016098E-05,0.054,97
0.0045,0.0001151446,0.0675,49,0.0045,-7.016098E-05,0.0675,93
0.0054,0.0001420005,0.081,51,0.0054,2.887007E-05,0.081,91
0.0063,5.337606E-05,0.0945,51,0.0063,0.0001315938,0.0945,95
0.0072,-8.392462E-05,0.108,52,0.0072,0.0001487144,0.108,98
0.0081,-0.0001312581,0.1215,49,0.0081,5.438316E-05,0.1215,95
0.009000001,-0.0001094377,0.135,51,0.009000001,-6.344701E-05,0.135,96
0.0099,0.0001467002,0.1485,50,0.0099,-4.33051E-05,0.1485,90
0.0108,0.0004038453,0.162,50,0.0108,-5.203327E-05,0.162,95
0.0117,0.0002269322,0.1755,50,0.0117,-0.0001040665,0.1755,94
0.0126,9.231708E-05,0.189,49,0.0126,-9.668116E-05,0.189,91
0.0135,0.0001641566,0.2025,50,0.0135,-1.879912E-05,0.2025,95
0.0144,0.0001064164,0.216,50,0.0144,-5.673304E-05,0.216,95
0.0153,-4.162661E-05,0.2295,50,0.0153,-3.088426E-05,0.2295,96
0.0162,-9.936675E-05,0.243,49,0.0162,-1.376364E-05,0.243,96
0.0171,-0.0001258869,0.2565,52,0.0171,-4.867628E-05,0.2565,99
0.018,-0.0001943694,0.27,50,0.018,-9.768826E-05,0.27,98
0.0189,-0.0002269322,0.2835,50,0.0189,-8.090334E-05,0.2835,99
0.0198,-0.0001816129,0.297,50,0.0198,-0.0001218585,0.297,96
0.0207,-7.855344E-05,0.3105,50,0.0207,-0.0001117876,0.3105,94
0.0216,2.450599E-05,0.324,49,0.0216,-9.365987E-05,0.324,94
0.0225,8.392462E-06,0.3375,47,0.0225,-0.000109102,0.3375,98
0.0234,5.102617E-05,0.351,49,0.0234,-0.0001107805,0.351,97
0.0243,3.793393E-05,0.3645,50,0.0243,-9.500267E-05,0.3645,92
0.0252,2.28275E-05,0.378,50,0.0252,-5.841154E-05,0.378,99
0.0261,4.39765E-05,0.3915,50,0.0261,-4.49836E-05,0.3915,97
0.027,6.982528E-05,0.405,51,0.027,-2.920577E-05,0.405,99
0.0279,4.36408E-06,0.4185,50,0.0279,-2.316319E-05,0.4185,94
0.0288,0,0.432,51,0.0288,-8.72816E-05,0.432,96
0.0297,1.443504E-05,0.4455,52,0.0297,-7.586786E-05,0.4455,95
0.0306,4.53193E-05,0.459,50,0.0306,-4.061952E-05,0.459,96
0.0315,1.712062E-05,0.4725,51,0.0315,-7.385367E-05,0.4725,99
0.0324,3.088426E-05,0.486,51,0.0324,-5.774014E-05,0.486,97
0.0333,-1.846342E-05,0.4995,51,0.0333,-6.378271E-06,0.4995,99
0.0342,-3.793393E-05,0.513,51,0.0342,-2.618448E-05,0.513,95
0.0351,2.1149E-05,0.5265,51,0.0351,-7.553216E-05,0.5265,94
0.036,-5.874724E-05,0.54,51,0.036,-3.189136E-05,0.54,97
0.0369,-6.6804E-05,0.5535,52,0.0369,-1.712062E-05,0.5535,98
0.0378,2.853437E-05,0.567,51,0.0378,-2.047761E-05,0.567,96
0.0387,2.349889E-06,0.5805,52,0.0387,-3.189136E-05,0.5805,98
0.0396,-3.121996E-05,0.594,51,0.0396,1.141375E-05,0.594,98
0.0405,2.18204E-05,0.6075,50,0.0405,5.270466E-05,0.6075,98
0.0414,1.980621E-05,0.621,52,0.0414,7.687495E-05,0.621,96
0.0423,2.517739E-05,0.6345,52,0.0423,3.659113E-05,0.6345,96
0.0432,8.023193E-05,0.648,50,0.0432,2.920577E-05,0.648,95
0.0441,0.0001017166,0.6615,52,0.0441,9.433127E-05,0.6615,98
0.045,0.0001769131,0.675,50,0.045,3.524834E-05,0.675,95
0.0459,0.0002799725,0.6885,51,0.0459,1.376364E-05,0.6885,97
0.0468,0.0001107805,0.702,49,0.0468,3.558404E-05,0.702,97
0.0477,7.922484E-05,0.7155,52,0.0477,7.049668E-06,0.7155,94
0.0486,0.0001366293,0.729,51,0.0486,-4.095522E-05,0.729,97
0.0495,0.0001104448,0.7425,51,0.0495,-2.383459E-05,0.7425,97
0.0504,0.0001245441,0.756,52,0.0504,-4.196231E-05,0.756,98
0.0513,0.0001027237,0.7695,52,0.0513,-7.855344E-05,0.7695,94
0.0522,2.349889E-06,0.783,53,0.0522,-4.095522E-05,0.783,93
0.0531,-3.323415E-05,0.7965,52,0.0531,-4.061952E-05,0.7965,95
0.054,-5.941863E-05,0.81,51,0.054,-4.867628E-05,0.81,96
0.0549,-2.081331E-05,0.8235,54,0.0549,-6.74754E-05,0.8235,95
0.0558,4.800488E-05,0.837,54,0.0558,-3.927672E-05,0.837,95
0.0567,5.136187E-05,0.8505,53,0.0567,3.994812E-05,0.8505,96
0.0576,5.673304E-05,0.864,54,0.0576,5.606165E-05,0.864,98
0.0585,6.378271E-06,0.8775,53,0.0585,9.164568E-05,0.8775,96
0.0594,-5.136187E-05,0.891,53,0.0594,4.061952E-05,0.891,92
0.0603,-8.82887E-05,0.9045,54,0.0603,4.39765E-05,0.9045,92
0.0612,-8.157473E-05,0.918,54,0.0612,1.913481E-05,0.918,95
0.0621,-3.659113E-05,0.9315,53,0.0621,-2.047761E-05,0.9315,94
0.063,-0.0001168231,0.945,55,0.063,1.712062E-05,0.945,93
0.0639,-7.418937E-05,0.9585,53,0.0639,-8.728161E-06,0.9585,96
0.0648,-2.450599E-05,0.972,53,0.0648,-5.505455E-05,0.972,95
0.0657,-7.150377E-05,0.9855,53,0.0657,-0.0001305867,0.9855,95
0.0666,-0.0001178302,0.999,53,0.0666,-0.0001352865,0.999,93
0.0675,-0.0001440146,1.0125,54,0.0675,-7.721065E-05,1.0125,92
0.0684,-0.0002017548,1.026,54,0.0684,-4.699779E-06,1.026,93
0.0693,-0.0001715419,1.0395,54,0.0693,-3.625543E-05,1.0395,98
0.0702,-0.0001584497,1.053,55,0.0702,3.491264E-05,1.053,95
0.0711,-0.000133608,1.0665,55,0.0711,9.970245E-05,1.0665,98
0.072,4.028382E-06,1.08,54,0.072,5.304036E-05,1.08,94
0.0729,0.000218204,1.0935,54,0.0729,-9.399558E-06,1.0935,95
0.07380001,0.00024271,1.107,54,0.07380001,0.0001154803,1.107,93
0.07470001,0.0001386435,1.1205,53,0.07470001,0.0002433814,1.1205,95
0.0756,0.0001607996,1.134,54,0.0756,0.0001816129,1.134,96
0.0765,3.894102E-05,1.1475,53,0.0765,0.0001433432,1.1475,93
0.0774,-8.392462E-06,1.161,53,0.0774,0.0001084306,1.161,93
0.0783,-1.947051E-05,1.1745,52,0.0783,5.673304E-05,1.1745,95
0.0792,-0.0001198444,1.188,53,0.0792,4.632639E-05,1.188,97
0.0801,-0.000224918,1.2015,53,0.0801,1.712062E-05,1.2015,92
0.081,-0.0001849699,1.215,53,0.081,-7.351797E-05,1.215,97
0.0819,-0.0001188373,1.2285,54,0.0819,-9.970245E-05,1.2285,92
0.0828,-4.229801E-05,1.242,53,0.0828,-7.016098E-05,1.242,95
0.0837,1.712062E-05,1.2555,53,0.0837,-1.242084E-05,1.2555,96
0.0846,5.706874E-05,1.269,54,0.0846,-6.713969E-07,1.269,91
0.0855,-2.517739E-05,1.2825,53,0.0855,-7.956054E-05,1.2825,90
0.0864,-9.735256E-05,1.296,55,0.0864,-0.0001926909,1.296,94
0.0873,-0.0001849699,1.3095,55,0.0873,-0.0001577783,1.3095,96
0.0882,-0.0001806058,1.323,56,0.0882,-0.0001138018,1.323,95
0.0891,-0.0001080949,1.3365,56,0.0891,-0.000172549,1.3365,93
0.09,-0.0001080949,1.35,55,0.09,-0.0001218585,1.35,94
0.0909,-0.0001010452,1.3635,58,0.0909,-0.0001460288,1.3635,93
0.0918,-1.242084E-05,1.377,57,0.0918,-0.0001319295,1.377,96
0.0927,-0.0001426719,1.3905,58,0.0927,-6.6804E-05,1.3905,94
0.0936,-0.0001990692,1.404,58,0.0936,1.913481E-05,1.404,97
0.09450001,-1.409934E-05,1.4175,56,0.09450001,-2.584878E-05,1.4175,98
0.09540001,0.0001654994,1.431,56,0.09540001,-2.652018E-05,1.431,97
0.09630001,0.000148043,1.4445,55,0.09630001,-1.242084E-05,1.4445,97
