X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-9.768826E-05,0.000000,52,0.000000,-8.69459E-05,0.000000,101
0.0009,-0.0003011215,0.0135,50,0.0009,-8.92958E-05,0.0135,102
0.0018,-0.0003242847,0.027,51,0.0018,-8.761731E-05,0.027,99
0.0027,-0.0002806439,0.0405,50,0.0027,-7.721065E-06,0.0405,98
0.0036,-0.000330663,0.054,53,0.0036,6.814679E-05,0.054,99
0.0045,-0.0002621805,0.0675,52,0.0045,4.934768E-05,0.0675,100
0.0054,-7.016098E-05,0.081,52,0.0054,1.678492E-05,0.081,100
0.0063,5.941863E-05,0.0945,53,0.0063,-2.047761E-05,0.0945,97
0.0072,0.000109102,0.108,52,0.0072,-5.404745E-05,0.108,96
0.0081,9.903105E-05,0.1215,52,0.0081,-2.517739E-05,0.1215,94
0.009000001,0.0001238727,0.135,51,0.009000001,-2.349889E-06,0.135,102
0.0099,0.0001832914,0.1485,50,0.0099,-4.061952E-05,0.1485,98
0.0108,0.0001762417,0.162,50,0.0108,-5.975433E-05,0.162,97
0.0117,0.0002601663,0.1755,51,0.0117,-5.841154E-05,0.1755,98
0.0126,0.0001426719,0.189,51,0.0126,-4.968337E-05,0.189,97
0.0135,6.848249E-05,0.2025,50,0.0135,-4.766919E-05,0.2025,99
0.0144,3.356985E-05,0.216,49,0.0144,-5.975433E-05,0.216,99
0.0153,-2.652018E-05,0.2295,50,0.0153,-4.33051E-05,0.2295,95
0.0162,-3.793393E-05,0.243,49,0.0162,-3.524834E-05,0.243,100
0.0171,-5.539025E-05,0.2565,50,0.0171,-3.793393E-05,0.2565,102
0.018,-3.088426E-05,0.27,50,0.018,-5.304036E-05,0.27,95
0.0189,6.915389E-05,0.2835,49,0.0189,-4.901198E-05,0.2835,98
0.0198,8.090334E-05,0.297,49,0.0198,-6.78111E-05,0.297,100
0.0207,-1.376364E-05,0.3105,50,0.0207,-6.61326E-05,0.3105,97
0.0216,-2.517739E-05,0.324,50,0.0216,-5.001907E-05,0.324,98
0.0225,-8.728161E-06,0.3375,50,0.0225,-6.076142E-05,0.3375,99
0.0234,1.779202E-05,0.351,51,0.0234,-0.0001131304,0.351,98
0.0243,-2.853437E-05,0.3645,50,0.0243,-0.0001379721,0.3645,98
0.0252,1.913481E-05,0.378,51,0.0252,-9.970245E-05,0.378,98
0.0261,1.342794E-06,0.3915,50,0.0261,-0.0001715419,0.3915,97
0.027,-3.994812E-05,0.405,50,0.027,-7.217517E-05,0.405,99
0.0279,-9.735256E-06,0.4185,50,0.0279,0.0001809415,0.4185,98
0.0288,5.203327E-05,0.432,52,0.0288,0.00024271,0.432,95
0.0297,6.378271E-06,0.4455,50,0.0297,0.0002104829,0.4455,99
0.0306,-1.779202E-05,0.459,50,0.0306,0.000148043,0.459,98
0.0315,2.786297E-05,0.4725,50,0.0315,2.954147E-05,0.4725,100
0.0324,2.887007E-05,0.486,51,0.0324,-8.392462E-06,0.486,101
0.0333,-3.894102E-05,0.4995,50,0.0333,2.652018E-05,0.4995,101
0.0342,-4.36408E-06,0.513,48,0.0342,3.961242E-05,0.513,97
0.0351,7.553216E-05,0.5265,48,0.0351,7.721065E-06,0.5265,99
0.036,5.035477E-06,0.54,49,0.036,3.860533E-05,0.54,100
0.0369,-1.409934E-05,0.5535,48,0.0369,7.553216E-05,0.5535,98
0.0378,2.349889E-06,0.567,48,0.0378,-3.927672E-05,0.567,101
