X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-0.000130251,0.000000,46,0.000000,0.0002665446,0.000000,101
0.0009,-5.035477E-05,0.0135,49,0.0009,0.0003736324,0.0135,104
0.0018,9.735256E-05,0.027,47,0.0018,0.0003578546,0.027,98
0.0027,8.157473E-05,0.0405,48,0.0027,0.0002051118,0.0405,102
0.0036,-5.941863E-05,0.054,48,0.0036,8.761731E-05,0.054,100
0.0045,-8.89601E-05,0.0675,48,0.0045,6.076142E-05,0.0675,103
0.0054,-4.867628E-05,0.081,47,0.0054,3.256275E-05,0.081,99
0.0063,6.042573E-06,0.0945,47,0.0063,-2.047761E-05,0.0945,102
0.0072,4.733349E-05,0.108,48,0.0072,-8.82887E-05,0.108,98
0.0081,-1.913481E-05,0.1215,49,0.0081,-0.0001554284,0.1215,100
0.009000001,-9.600977E-05,0.135,47,0.009000001,-0.0001198444,0.135,104
0.0099,-5.136187E-05,0.1485,48,0.0099,-6.78111E-05,0.1485,102
0.0108,2.652018E-05,0.162,47,0.0108,-0.0001117876,0.162,99
0.0117,-0.0001208515,0.1755,47,0.0117,-0.000278294,0.1755,101
0.0126,-0.0001198444,0.189,47,0.0126,-0.00033402,0.189,99
0.0135,6.478981E-05,0.2025,46,0.0135,-0.0001896696,0.2025,100
0.0144,0.0001681849,0.216,47,0.0144,-0.0001520714,0.216,100
0.0153,9.164568E-05,0.2295,47,0.0153,-9.869535E-05,0.2295,98
0.0162,-1.678492E-05,0.243,46,0.0162,6.076142E-05,0.243,98
0.0171,-0.0001332723,0.2565,48,0.0171,0.0001900053,0.2565,101
0.018,-5.874724E-05,0.27,47,0.018,0.0001393149,0.27,99
0.0189,6.143282E-05,0.2835,47,0.0189,4.733349E-05,0.2835,101
0.0198,4.43122E-05,0.297,47,0.0198,7.855344E-05,0.297,106
0.0207,1.107805E-05,0.3105,48,0.0207,0.0001134661,0.3105,99
0.0216,2.24918E-05,0.324,47,0.0216,2.819867E-05,0.324,100
0.0225,2.987716E-05,0.3375,48,0.0225,-5.035477E-06,0.3375,99
0.0234,-5.035477E-06,0.351,49,0.0234,1.812772E-05,0.351,99
0.0243,-4.49836E-05,0.3645,48,0.0243,1.947051E-05,0.3645,98
0.0252,-0.0001514,0.378,49,0.0252,1.980621E-05,0.378,101
0.0261,-0.0001876554,0.3915,46,0.0261,-9.399558E-06,0.3915,100
0.027,-0.0001507286,0.405,48,0.027,-3.457694E-05,0.405,101
