X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-1.275654E-05,0.000000,40,0.000000,0.0001386435,0.000000,103
0.0009,-2.584878E-05,0.0135,39,0.0009,6.277562E-05,0.0135,101
0.0018,-9.298848E-05,0.027,39,0.0018,0.0001037308,0.027,102
0.0027,-4.229801E-05,0.0405,39,0.0027,0.0001195087,0.0405,103
0.0036,-7.486076E-05,0.054,40,0.0036,8.291753E-05,0.054,104
0.0045,-0.0001211871,0.0675,39,0.0045,7.721065E-05,0.0675,104
0.0054,-3.659113E-05,0.081,39,0.0054,0.0001067521,0.081,103
0.0063,2.1149E-05,0.0945,38,0.0063,0.000164828,0.0945,102
0.0072,4.800488E-05,0.108,39,0.0072,0.0001453574,0.108,102
0.0081,4.162661E-05,0.1215,39,0.0081,0.0001279011,0.1215,105
0.009000001,5.203327E-05,0.135,39,0.009000001,6.143282E-05,0.135,104
0.0099,0.0001117876,0.1485,39,0.0099,1.678492E-06,0.1485,103
0.0108,5.270466E-05,0.162,38,0.0108,-1.779202E-05,0.162,106
0.0117,2.584878E-05,0.1755,39,0.0117,1.040665E-05,0.1755,102
0.0126,-3.524834E-05,0.189,38,0.0126,1.275654E-05,0.189,100
0.0135,-8.89601E-05,0.2025,37,0.0135,2.887007E-05,0.2025,103
0.0144,-3.524834E-05,0.216,38,0.0144,6.009003E-05,0.216,104
0.0153,-4.028382E-05,0.2295,39,0.0153,0.0001020523,0.2295,104
0.0162,-6.478981E-05,0.243,38,0.0162,5.874724E-05,0.243,101
0.0171,2.349889E-06,0.2565,39,0.0171,-1.141375E-05,0.2565,103
0.018,2.1149E-05,0.27,39,0.018,-2.484169E-05,0.27,100
0.0189,4.800488E-05,0.2835,38,0.0189,-1.913481E-05,0.2835,104
0.0198,8.69459E-05,0.297,38,0.0198,1.309224E-05,0.297,102
0.0207,9.903105E-05,0.3105,39,0.0207,9.399558E-06,0.3105,100
0.0216,8.090334E-05,0.324,37,0.0216,-2.450599E-05,0.324,102
0.0225,1.409934E-05,0.3375,38,0.0225,-2.383459E-05,0.3375,100
0.0234,5.471885E-05,0.351,39,0.0234,9.735256E-06,0.351,103
0.0243,0.0001007095,0.3645,39,0.0243,1.443504E-05,0.3645,102
0.0252,-7.721065E-06,0.378,39,0.0252,-2.685588E-06,0.378,106
0.0261,-3.692683E-06,0.3915,38,0.0261,-3.591974E-05,0.3915,103
0.027,7.721065E-06,0.405,37,0.027,-7.150377E-05,0.405,104
0.0279,-1.577783E-05,0.4185,40,0.0279,-0.0001060807,0.4185,101
0.0288,2.081331E-05,0.432,39,0.0288,-0.000144686,0.432,103
0.0297,-1.577783E-05,0.4455,39,0.0297,-0.0001107805,0.4455,101
0.0306,-0.000190341,0.459,39,0.0306,-0.0001114519,0.459,101
0.0315,-0.000164828,0.4725,39,0.0315,-0.000164828,0.4725,104
0.0324,-0.0001218585,0.486,39,0.0324,-0.0001262226,0.486,103
0.0333,-9.936675E-05,0.4995,40,0.0333,3.591974E-05,0.4995,103
0.0342,-0.0001356222,0.513,39,0.0342,4.53193E-05,0.513,102
0.0351,1.174945E-05,0.5265,40,0.0351,-2.014191E-06,0.5265,105
0.036,3.121996E-05,0.54,39,0.036,3.726253E-05,0.54,102
0.0369,0.0001134661,0.5535,39,0.0369,8.69459E-05,0.5535,101
0.0378,0.0001634852,0.567,39,0.0378,0.000109102,0.567,105
0.0387,7.687495E-05,0.5805,39,0.0387,0.0001514,0.5805,101
0.0396,2.21561E-05,0.594,40,0.0396,0.0001272297,0.594,103
0.0405,7.754635E-05,0.6075,39,0.0405,2.853437E-05,0.6075,106
0.0414,0.0001064164,0.621,39,0.0414,0,0.621,103
0.0423,6.009003E-05,0.6345,39,0.0423,-6.478981E-05,0.6345,102
0.0432,7.284657E-05,0.648,40,0.0432,-6.009003E-05,0.648,106
0.0441,7.150377E-05,0.6615,39,0.0441,-2.584878E-05,0.6615,102
0.045,6.915389E-05,0.675,39,0.045,-9.164568E-05,0.675,102
0.0459,9.298848E-05,0.6885,39,0.0459,-0.0001594568,0.6885,101
0.0468,8.560311E-05,0.702,38,0.0468,-0.0001326009,0.702,102
0.0477,6.51255E-05,0.7155,39,0.0477,-0.0001658351,0.7155,101
0.0486,7.620356E-05,0.729,40,0.0486,-0.0002433814,0.729,100
0.0495,-8.392462E-06,0.7425,39,0.0495,-0.0001503929,0.7425,103
0.0504,2.349889E-06,0.756,40,0.0504,-6.143282E-05,0.756,103
0.0513,-6.74754E-05,0.7695,40,0.0513,-1.409934E-05,0.7695,104
0.0522,-3.121996E-05,0.783,39,0.0522,-2.047761E-05,0.783,106
0.0531,3.692683E-06,0.7965,38,0.0531,1.980621E-05,0.7965,103
0.054,-3.021286E-06,0.81,38,0.054,-5.337606E-05,0.81,102
0.0549,1.443504E-05,0.8235,39,0.0549,-6.076142E-05,0.8235,100
0.0558,6.009003E-05,0.837,38,0.0558,-6.54612E-05,0.837,103
0.0567,-3.524834E-05,0.8505,39,0.0567,-1.510643E-05,0.8505,104
0.0576,-4.699779E-05,0.864,39,0.0576,5.706874E-06,0.864,103
0.0585,6.713969E-07,0.8775,39,0.0585,5.035477E-06,0.8775,105
0.0594,2.014191E-05,0.891,38,0.0594,3.524834E-05,0.891,103
0.0603,-0.0001131304,0.9045,38,0.0603,0.0001067521,0.9045,102
0.0612,-0.0001007095,0.918,38,0.0612,1.779202E-05,0.918,104
0.0621,4.33051E-05,0.9315,39,0.0621,-5.001907E-05,0.9315,106
0.063,-8.627451E-05,0.945,39,0.063,2.819867E-05,0.945,103
0.0639,-0.0001225299,0.9585,39,0.0639,5.807584E-05,0.9585,106
0.0648,-5.539025E-05,0.972,38,0.0648,2.719158E-05,0.972,102
0.0657,-5.841154E-05,0.9855,39,0.0657,5.035477E-06,0.9855,104
0.0666,-0.0001507286,0.999,39,0.0666,-1.678492E-06,0.999,106
0.0675,-0.0001362936,1.0125,40,0.0675,-2.551309E-05,1.0125,105
0.0684,-9.030289E-05,1.026,38,0.0684,3.356985E-05,1.026,105
0.0693,-4.733349E-05,1.0395,39,0.0693,6.143282E-05,1.0395,104
0.0702,4.699779E-06,1.053,38,0.0702,9.768826E-05,1.053,102
0.0711,3.021286E-06,1.0665,37,0.0711,2.752728E-05,1.0665,106
0.072,-3.390555E-05,1.08,38,0.072,-7.049668E-06,1.08,106
0.0729,-7.721065E-06,1.0935,37,0.0729,-2.18204E-05,1.0935,101
0.07380001,-8.96315E-05,1.107,38,0.07380001,3.189136E-05,1.107,104
0.07470001,-5.404745E-05,1.1205,37,0.07470001,2.349889E-06,1.1205,102
