X[s],"R TIBIALIS ANTERIOR: EMG 1",X[s],"R TIBIALIS ANTERIOR: ACC X 1",X[s],"R TIBIALIS ANTERIOR: ACC Y 1",X[s],"R TIBIALIS ANTERIOR: ACC Z 1",X[s],"R PERONEUS LONGUS: EMG 2",X[s],"R PERONEUS LONGUS: ACC X 2",X[s],"R PERONEUS LONGUS: ACC Y 2",X[s],"R PERONEUS LONGUS: ACC Z 2",X[s],"R GASTROCNEMIUS: EMG 3",X[s],"R GASTROCNEMIUS: ACC X 3",X[s],"R GASTROCNEMIUS: ACC Y 3",X[s],"R GASTROCNEMIUS: ACC Z 3",X[s],"R RECTUS FEMORIS: EMG 4",X[s],"R RECTUS FEMORIS: ACC X 4",X[s],"R RECTUS FEMORIS: ACC Y 4",X[s],"R RECTUS FEMORIS: ACC Z 4",X[s],"R_Tibia: EMG 5 (IM)",X[s],"R_Tibia: ACC X 5 (IM)",X[s],"R_Tibia: ACC Y 5 (IM)",X[s],"R_Tibia: ACC Z 5 (IM)",X[s],"R_Tibia: Gyro X 5 (IM)",X[s],"R_Tibia: Gyro Y 5 (IM)",X[s],"R_Tibia: Gyro Z 5 (IM)",X[s],"R_Tibia: Mag X 5 (IM)",X[s],"R_Tibia: Mag Y 5 (IM)",X[s],"R_Tibia: Mag Z 5 (IM)",X[s],"R_Foot_Switch: EMG 16",X[s],"R_Foot_Switch: ACC X 16",X[s],"R_Foot_Switch: ACC Y 16",X[s],"R_Foot_Switch: ACC Z 16"
0.005192308,0,0.0675,-0.982986,0.0675,0.5500403,0.0675,0.439927,0.005192308,0,0.0675,-1.049604,0.0675,0.2664196,0.0675,-0.341994,0.005192308,0,0.0675,-1.604953,0.0675,0.4527987,0.0675,-0.1153651,0.005192308,0,0.0675,-0.2259704,0.0675,-0.1314194,0.0675,0.09725906,0.009000001,0,0.0675,0.2299805,0.0675,-1.964844,0.0675,-1.219238,0.0675,395.6098,0.0675,35.42683,0.0675,3.780488,0.135,-94.3,0.135,7,0.135,89,0.005192308,0.7166154,0.0675,-48.46683,0.0675,-48.46683,0.0675,-48.46683
0.005711539,0,0.07425,-1.038928,0.07425,0.3680417,0.07425,0.480661,0.005711539,0,0.07425,-1.183261,0.07425,0.1332098,0.07425,-0.32978,0.005711539,0,0.07425,-1.64909,0.07425,1.233486,0.07425,-0.2760523,0.005711539,0,0.07425,-0.2299348,0.07425,-0.03584166,0.07425,0.04457707,0.0099,0,0.07425,0.1547852,0.07425,-1.996094,0.07425,-1.405273,0.07425,374.3293,0.07425,50.18293,0.07425,13.10976,0.1485,-94.2,0.1485,6.8,0.1485,88.3,0.005711539,0.7166154,0.07425,-48.46683,0.07425,-48.46683,0.07425,-48.46683
0.006230769,0,0.081,-1.158805,0.081,0.3195087,0.081,0.5132482,0.006230769,0,0.081,-1.238296,0.081,0.2311582,0.081,-0.2890664,0.006230769,0,0.081,-1.641065,0.081,1.616023,0.081,-0.06592293,0.006230769,0,0.081,-0.3250803,0.081,0.1632787,0.081,-0.08104921,0.0108,0,0.081,0.08642578,0.081,-1.967285,0.081,-1.621094,0.081,351.8293,0.081,55.18293,0.081,23.17073,0.162,-94.2,0.162,7.1,0.162,86.7,0.006230769,0.7166154,0.081,-48.46683,0.081,-48.46683,0.081,-48.46683
0.00675,0,0.08775,-1.226735,0.08775,0.4327523,0.08775,0.5051014,0.00675,0,0.08775,-1.198985,0.08775,0.4348909,0.08775,-0.3094232,0.00675,0,0.08775,-1.869771,0.08775,1.089059,0.08775,0.2430908,0.00675,0,0.08775,-0.483656,0.08775,0.469924,0.08775,-0.3241968,0.0117,0,0.08775,0.06835938,0.08775,-1.716309,0.08775,-1.861816,0.08775,321.0366,0.08775,56.89024,0.08775,31.40244,0.1755,-95.1,0.1755,7.4,0.1755,84.8,0.00675,0.7166154,0.08775,-48.46683,0.08775,-48.46683,0.08775,-48.46683
0.007269231,0,0.0945,-1.126838,0.0945,0.6471062,0.0945,0.5010279,0.007269231,0,0.0945,-1.104639,0.0945,0.5837725,0.0945,-0.3053519,0.007269231,0,0.0945,-1.929957,0.0945,0.1210066,0.0945,0.2183697,0.007269231,0,0.0945,-0.7849499,0.0945,0.9279007,0.0945,-0.8145447,0.0126,0,0.0945,0.1157227,0.0945,-1.496582,0.0945,-2.075195,0.0945,286.8293,0.0945,55.73171,0.0945,37.43903,0.189,-95.2,0.189,6.4,0.189,84.6,0.007269231,0.7166154,0.0945,-48.46683,0.0945,-48.46683,0.0945,-48.46683
0.007788462,0,0.10125,-0.8750974,0.10125,0.7846164,0.10125,0.5336152,0.007788462,0,0.10125,-1.022086,0.10125,0.6268697,0.10125,-0.1506402,0.007788462,0,0.10125,-1.937981,0.10125,-0.7533634,0.10125,-0.111245,0.007788462,0,0.10125,-1.561971,0.10125,1.676593,0.10125,-1.620984,0.0135,0,0.10125,0.1777344,0.10125,-1.313965,0.10125,-2.358398,0.10125,241.0366,0.10125,66.34146,0.10125,40.4878,0.2025,-95,0.2025,5.9,0.2025,81.2,0.007788462,0.7166154,0.10125,-48.46683,0.10125,-48.46683,0.10125,-48.46683
0.008307693,0,0.108,-0.5794023,0.108,0.6875504,0.108,0.5254684,0.008307693,0,0.108,-1.014224,0.108,0.4192191,0.108,-0.02035679,0.008307693,0,0.108,-1.753412,0.108,-1.128093,0.108,-0.539744,0.008307693,0,0.108,-1.934624,0.108,1.899608,0.108,-1.933024,0.0144,0,0.108,0.09570313,0.108,-1.087891,0.108,-2.538086,0.108,183.9025,0.108,88.84147,0.108,37.13415,0.216,-95.1,0.216,5.7,0.216,77.9,0.008307693,0.7166154,0.108,-48.46683,0.108,-48.46683,0.108,-48.46683
0.008826924,0,0.11475,-0.4395466,0.11475,0.3801749,0.11475,0.399193,0.008826924,0,0.11475,-1.077121,0.11475,0.05093317,0.11475,0.07328444,0.008826924,0,0.11475,-1.420384,0.11475,-0.8353355,0.11475,-0.7951953,0.008826924,0,0.11475,-1.47079,0.11475,1.573051,0.11475,-1.945181,0.0153,0,0.11475,-0.03613281,0.11475,-0.824707,0.11475,-2.676758,0.11475,114.1463,0.11475,97.19512,0.11475,28.35366,0.2295,-94.7,0.2295,4.8,0.2295,73.7,0.008826924,0.7166154,0.11475,-48.46683,0.11475,-48.46683,0.11475,-48.46683
0.009346154,0,0.1215,-0.4555301,0.1215,0.008088829,0.1215,0.3177251,0.009346154,0,0.1215,-1.112501,0.1215,-0.2860093,0.1215,0.04478494,0.009346154,0,0.1215,-1.424396,0.1215,-0.1600409,0.1215,-0.7045513,0.009346154,0,0.1215,-0.3924749,0.1215,1.15888,0.1215,-1.754716,0.0162,0,0.1215,-0.1225586,0.1215,-0.6005859,0.1215,-2.77832,0.1215,57.56098,0.1215,82.5,0.1215,20.97561,0.243,-94.2,0.243,4.6,0.243,72.7,0.009346154,0.7166154,0.1215,-48.46683,0.1215,-48.46683,0.1215,-48.46683
0.009865385,0,0.12825,-0.4555301,0.12825,-0.3154643,0.12825,0.3177251,0.009865385,0,0.12825,-1.033879,0.12825,-0.4505626,0.12825,0.03257087,0.009865385,0,0.12825,-1.669152,0.12825,0.4762193,0.12825,-0.3872972,0.009865385,0,0.12825,0.02378636,0.12825,1.142951,0.12825,-1.661509,0.0171,0,0.12825,-0.2041016,0.12825,-0.3911133,0.12825,-2.851563,0.12825,-6.280488,0.12825,52.5,0.12825,15.67073,0.2565,-94.2,0.2565,5.2,0.2565,71.8,0.009865385,0.7166154,0.12825,-48.46683,0.12825,-48.46683,0.12825,-48.46683
