X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-7.721065E-06,0.000000,118,0.000000,-1.913481E-05,0.000000,0
0.0009,7.721065E-06,0.0135,120,0.0009,3.356985E-07,0.0135,0
0.0018,-9.735256E-06,0.027,120,0.0018,1.779202E-05,0.027,1
0.0027,-6.042573E-06,0.0405,119,0.0027,-1.342794E-06,0.0405,0
0.0036,-2.316319E-05,0.054,119,0.0036,-1.376364E-05,0.054,1
0.0045,-3.524834E-05,0.0675,120,0.0045,-1.342794E-05,0.0675,0
0.0054,-1.644922E-05,0.081,117,0.0054,-3.021286E-06,0.081,1
0.0063,-1.913481E-05,0.0945,119,0.0063,-2.652018E-05,0.0945,2
0.0072,7.385367E-06,0.108,118,0.0072,-2.987716E-05,0.108,0
0.0081,-1.443504E-05,0.1215,119,0.0081,-1.947051E-05,0.1215,1
0.009000001,1.342794E-06,0.135,118,0.009000001,-2.316319E-05,0.135,0
0.0099,4.129091E-05,0.1485,118,0.0099,-2.24918E-05,0.1485,4
0.0108,2.28275E-05,0.162,119,0.0108,-3.121996E-05,0.162,-1
0.0117,-3.692683E-06,0.1755,118,0.0117,-1.242084E-05,0.1755,0
0.0126,-3.021286E-06,0.189,118,0.0126,-2.24918E-05,0.189,0
0.0135,-2.014191E-05,0.2025,119,0.0135,-1.947051E-05,0.2025,0
0.0144,-2.517739E-05,0.216,118,0.0144,-3.961242E-05,0.216,0
0.0153,1.678492E-06,0.2295,118,0.0153,-2.417029E-05,0.2295,0
0.0162,-1.712062E-05,0.243,119,0.0162,-3.189136E-05,0.243,1
0.0171,-4.33051E-05,0.2565,118,0.0171,-3.222705E-05,0.2565,0
0.018,-4.53193E-05,0.27,118,0.018,-2.450599E-05,0.27,0
0.0189,-2.18204E-05,0.2835,118,0.0189,-4.129091E-05,0.2835,1
0.0198,-1.342794E-05,0.297,117,0.0198,-4.129091E-05,0.297,2
0.0207,-5.706874E-06,0.3105,117,0.0207,-3.356985E-05,0.3105,0
0.0216,5.035477E-06,0.324,120,0.0216,-3.659113E-05,0.324,0
0.0225,1.644922E-05,0.3375,118,0.0225,-2.14847E-05,0.3375,0
0.0234,5.337606E-05,0.351,119,0.0234,-2.584878E-05,0.351,0
0.0243,1.980621E-05,0.3645,118,0.0243,-3.121996E-05,0.3645,-1
0.0252,-4.028382E-06,0.378,119,0.0252,-2.014191E-05,0.378,1
0.0261,-1.376364E-05,0.3915,119,0.0261,-1.544213E-05,0.3915,-1
0.027,-4.36408E-06,0.405,118,0.027,-2.752728E-05,0.405,-2
0.0279,-7.049668E-06,0.4185,118,0.0279,-3.726253E-05,0.4185,0
0.0288,3.356985E-07,0.432,117,0.0288,-6.378271E-05,0.432,0
0.0297,2.21561E-05,0.4455,119,0.0297,-2.752728E-05,0.4455,0
0.0306,3.961242E-05,0.459,118,0.0306,-2.786297E-05,0.459,0
0.0315,-4.36408E-06,0.4725,118,0.0315,-5.740444E-05,0.4725,0
0.0324,-4.699779E-06,0.486,119,0.0324,-5.404745E-05,0.486,0
0.0333,1.342794E-06,0.4995,118,0.0333,-3.356985E-06,0.4995,1
0.0342,-1.141375E-05,0.513,119,0.0342,-1.644922E-05,0.513,0
0.0351,-1.007095E-06,0.5265,118,0.0351,-5.874724E-05,0.5265,1
0.036,-3.692683E-06,0.54,117,0.036,7.721065E-06,0.54,-3
0.0369,-2.819867E-05,0.5535,117,0.0369,2.819867E-05,0.5535,-1
0.0378,-3.390555E-05,0.567,120,0.0378,-1.443504E-05,0.567,0
0.0387,-2.987716E-05,0.5805,119,0.0387,-3.054856E-05,0.5805,0
0.0396,-3.793393E-05,0.594,118,0.0396,1.107805E-05,0.594,1
0.0405,-1.678492E-05,0.6075,118,0.0405,3.356985E-06,0.6075,4
0.0414,-1.678492E-05,0.621,118,0.0414,-1.040665E-05,0.621,2
0.0423,2.685588E-06,0.6345,119,0.0423,-4.263371E-05,0.6345,1
